bairro,ano,óbitos-gravidez,codigo
ENGENHEIRO LEAL,2010,0,081
MADUREIRA,2010,0,083
ROCHA MIRANDA,2010,0,086
OSWALDO CRUZ,2010,0,088
BENTO RIBEIRO,2010,0,089
MARECHAL HERMES,2010,0,090
CACUIA,2010,0,093
PITANGUEIRAS,2010,0,094
FREGUESIA-ILHA,2010,0,098
JARDIM GUANABARA,2010,0,099
JARDIM CARIOCA,2010,0,100
TAUA,2010,0,101
MONERO,2010,0,102
PORTUGUESA,2010,0,103
GALEAO,2010,1,104
GUADALUPE,2010,0,106
ANCHIETA,2010,0,107
RICARDO ALBUQUERQUE,2010,0,109
COELHO NETO,2010,0,110
ACARI,2010,0,111
BARROS FILHO,2010,0,112
COSTA BARROS,2010,0,113
PAVUNA,2010,1,114
JACAREPAGUA,2010,0,115
ANIL,2010,0,116
GARDENIA AZUL,2010,0,117
CIDADE DE DEUS,2010,0,118
CURICICA,2010,2,119
FREGUESIA-JPA,2010,1,120
TAQUARA,2010,0,122
TANQUE,2010,0,123
PRACA SECA,2010,1,124
VILA VALQUEIRE,2010,0,125
ITANHANGA,2010,1,127
BARRA DA TIJUCA,2010,0,128
VARGEM PEQUENA,2010,0,130
RECREIO BANDEIRANTES,2010,0,132
VILA MILITAR,2010,0,135
MAGALHAES BASTOS,2010,0,138
REALENGO,2010,1,139
PADRE MIGUEL,2010,0,140
BANGU,2010,1,141
SENADOR CAMARA,2010,1,142
SANTISSIMO,2010,0,143
CAMPO GRANDE,2010,2,144
SENADOR VASCONCELOS,2010,0,145
INHOAIBA,2010,0,146
COSMOS,2010,1,147
PACIENCIA,2010,1,148
SANTA CRUZ,2010,2,149
SEPETIBA,2010,0,150
GUARATIBA,2010,0,151
BARRA DE GUARATIBA,2010,0,152
PEDRA DE GUARATIBA,2010,0,153
ROCINHA,2010,1,154
JACAREZINHO,2010,0,155
COMPLEXO DO ALEMAO,2010,1,156
COMPLEXO DA MARE,2010,2,157
PARQUE COLUMBIA,2010,0,158
VASCO DA GAMA,2010,0,159
ILHA DO GOVERNADOR - IGNORADO,2010,0,998
IGNORADO BAIRRO-MRJ,2010,0,999
,2010,7,
SAUDE,2011,0,001
GAMBOA,2011,0,002
CAJU,2011,0,004
CENTRO,2011,1,005
CATUMBI,2011,1,006
RIO COMPRIDO,2011,0,007
CIDADE NOVA,2011,0,008
ESTACIO,2011,0,009
SAO CRISTOVAO,2011,0,010
MANGUEIRA,2011,0,011
BENFICA,2011,2,012
SANTA TERESA,2011,0,014
FLAMENGO,2011,0,015
BOTAFOGO,2011,0,020
COPACABANA,2011,0,024
IPANEMA,2011,0,025
GAVEA,2011,0,029
VIDIGAL,2011,0,030
PRACA DA BANDEIRA,2011,0,032
TIJUCA,2011,1,033
MARACANA,2011,0,035
VILA ISABEL,2011,0,036
ANDARAI,2011,0,037
GRAJAU,2011,0,038
MANGUINHOS,2011,0,039
BONSUCESSO,2011,0,040
RAMOS,2011,0,041
OLARIA,2011,1,042
PENHA,2011,0,043
PENHA CIRCULAR,2011,0,044
BRAS DE PINA,2011,0,045
CORDOVIL,2011,0,046
PARADA DE LUCAS,2011,0,047
VIGARIO GERAL,2011,0,048
JARDIM AMERICA,2011,0,049
HIGIENOPOLIS,2011,0,050
JACARE,2011,0,051
DEL CASTILHO,2011,0,053
INHAUMA,2011,0,054
ENGENHO DA RAINHA,2011,0,055
TOMAS COELHO,2011,0,056
ROCHA,2011,0,058
ENGENHO NOVO,2011,0,061
LINS DE VASCONCELOS,2011,0,062
TODOS OS SANTOS,2011,0,064
CACHAMBI,2011,0,065
ENGENHO DE DENTRO,2011,0,066
PIEDADE,2011,0,069
PILARES,2011,0,071
VILA KOSMOS,2011,0,072
VICENTE DE CARVALHO,2011,0,073
VILA DA PENHA,2011,0,074
VISTA ALEGRE,2011,0,075
IRAJA,2011,0,076
COLEGIO,2011,0,077
QUINTINO BOCAIUVA,2011,0,079
CAVALCANTE,2011,0,080
ENGENHEIRO LEAL,2011,0,081
MADUREIRA,2011,0,083
ROCHA MIRANDA,2011,0,086
OSWALDO CRUZ,2011,0,088
BENTO RIBEIRO,2011,0,089
MARECHAL HERMES,2011,0,090
CACUIA,2011,0,093
