codigo,bairro,ano,obitos_0_364,obitos_0_6,obitos_7_27,nascidos_vivos,obitos_28_364,taxa_mortalidade_infantil,taxa_mortalidade_pos_neonatal
100,JARDIM CARIOCA,2025,3.0,2.0,0.0,199,1.0,15.07537688442211,5.025125628140704
101,TAUA,2025,2.0,0.0,1.0,212,1.0,9.433962264150942,4.716981132075471
102,MONERO,2025,0.0,0.0,0.0,39,0.0,0.0,0.0
103,PORTUGUESA,2025,2.0,2.0,0.0,127,0.0,15.748031496062993,0.0
104,GALEAO,2025,1.0,0.0,0.0,248,1.0,4.032258064516129,4.032258064516129
105,CIDADE UNIVERSITARIA,2025,1.0,1.0,0.0,17,0.0,58.8235294117647,0.0
106,GUADALUPE,2025,5.0,2.0,0.0,355,3.0,14.084507042253522,8.450704225352112
107,ANCHIETA,2025,7.0,5.0,0.0,618,2.0,11.326860841423949,3.236245954692557
108,PARQUE ANCHIETA,2025,2.0,1.0,0.0,144,1.0,13.888888888888888,6.944444444444444
109,RICARDO ALBUQUERQUE,2025,2.0,1.0,0.0,262,1.0,7.633587786259541,3.8167938931297707
110,COELHO NETO,2025,0.0,0.0,0.0,284,0.0,0.0,0.0
111,ACARI,2025,6.0,2.0,2.0,349,2.0,17.191977077363898,5.730659025787966
112,BARROS FILHO,2025,2.0,1.0,0.0,164,1.0,12.195121951219512,6.097560975609756
113,COSTA BARROS,2025,7.0,4.0,0.0,401,3.0,17.456359102244388,7.481296758104738
114,PAVUNA,2025,20.0,14.0,0.0,888,6.0,22.52252252252252,6.756756756756757
115,JACAREPAGUA,2025,32.0,11.0,8.0,1878,13.0,17.03940362087327,6.922257720979766
116,ANIL,2025,7.0,5.0,0.0,377,2.0,18.56763925729443,5.305039787798409
117,GARDENIA AZUL,2025,4.0,1.0,1.0,400,2.0,10.0,5.0
118,CIDADE DE DEUS,2025,6.0,2.0,2.0,549,2.0,10.92896174863388,3.6429872495446265
119,CURICICA,2025,5.0,4.0,1.0,369,0.0,13.550135501355014,0.0
120,FREGUESIA-JPA,2025,4.0,2.0,1.0,553,1.0,7.2332730560578655,1.8083182640144664
121,PECHINCHA,2025,3.0,2.0,1.0,339,0.0,8.849557522123893,0.0
122,TAQUARA,2025,14.0,8.0,2.0,1005,4.0,13.930348258706468,3.980099502487562
123,TANQUE,2025,5.0,1.0,3.0,378,1.0,13.227513227513226,2.6455026455026456
124,PRACA SECA,2025,10.0,4.0,1.0,567,5.0,17.636684303350968,8.818342151675484
125,VILA VALQUEIRE,2025,2.0,2.0,0.0,273,0.0,7.326007326007326,0.0
126,JOA,2025,0.0,0.0,0.0,8,0.0,0.0,0.0
127,ITANHANGA,2025,11.0,4.0,2.0,791,5.0,13.90644753476612,6.321112515802781
128,BARRA DA TIJUCA,2025,6.0,4.0,2.0,1115,0.0,5.381165919282512,0.0
