bairro,ano,obitos precoces,codigo,nascidos vivos,taxa_mortalidade_precoce
CAMORIM,2007,1,129,68,14.705882352941176
VARGEM PEQUENA,2007,1,130,276,3.6231884057971016
VARGEM GRANDE,2007,2,131,264,7.575757575757576
RECREIO BANDEIRANTES,2007,5,132,992,5.040322580645161
DEODORO,2007,4,134,192,20.833333333333332
VILA MILITAR,2007,0,135,28,0.0
CAMPO DOS AFONSOS,2007,0,136,9,0.0
JARDIM SULACAP,2007,2,137,216,9.25925925925926
MAGALHAES BASTOS,2007,2,138,390,5.128205128205129
REALENGO,2007,17,139,2281,7.452871547566856
PADRE MIGUEL,2007,6,140,939,6.3897763578274756
BANGU,2007,25,141,3256,7.678132678132679
SENADOR CAMARA,2007,6,142,1248,4.807692307692308
SANTISSIMO,2007,7,143,822,8.51581508515815
CAMPO GRANDE,2007,41,144,5378,7.623651915210115
SENADOR VASCONCELOS,2007,3,145,228,13.157894736842104
INHOAIBA,2007,3,146,701,4.279600570613409
COSMOS,2007,3,147,753,3.9840637450199203
PACIENCIA,2007,6,148,1216,4.934210526315789
SANTA CRUZ,2007,22,149,3518,6.2535531552018195
SEPETIBA,2007,4,150,876,4.5662100456621
GUARATIBA,2007,8,151,1108,7.220216606498195
BARRA DE GUARATIBA,2007,0,152,72,0.0
PEDRA DE GUARATIBA,2007,2,153,609,3.284072249589491
ROCINHA,2007,5,154,1123,4.452359750667854
JACAREZINHO,2007,6,155,321,18.69158878504673
COMPLEXO DO ALEMAO,2007,0,156,71,0.0
COMPLEXO DA MARE,2007,9,157,1530,5.88235294117647
PARQUE COLUMBIA,2007,0,158,0,
VASCO DA GAMA,2007,0,159,0,
GERICINo,2007,0,160,0,
LAPA,2007,0,161,0,
VILA KENNEDY,2007,0,162,0,
ILHA DE GUARATIBA,2007,0,164,0,
BARRA OLIMPICA,2007,0,165,0,
ILHA DO GOVERNADOR - IGNORADO,2007,4,998,159,25.157232704402517
IGNORADO BAIRRO-MRJ,2007,12,999,607,19.769357495881383
,2007,167,,9863,16.93196796106661
SAUDE,2008,0,001,111,0.0
GAMBOA,2008,2,002,120,16.666666666666668
SANTO CRISTO,2008,2,003,207,9.66183574879227
CAJU,2008,2,004,399,5.012531328320802
CENTRO,2008,3,005,475,6.315789473684211
CATUMBI,2008,2,006,238,8.403361344537815
RIO COMPRIDO,2008,4,007,566,7.067137809187279
CIDADE NOVA,2008,1,008,71,14.084507042253522
ESTACIO,2008,0,009,278,0.0
SAO CRISTOVAO,2008,7,010,722,9.69529085872576
MANGUEIRA,2008,2,011,343,5.830903790087463
BENFICA,2008,4,012,609,6.568144499178982
PAQUETA,2008,0,013,37,0.0
SANTA TERESA,2008,2,014,456,4.385964912280701
FLAMENGO,2008,1,015,387,2.5839793281653747
GLORIA,2008,0,016,143,0.0
LARANJEIRAS,2008,1,017,414,2.4154589371980677
CATETE,2008,0,018,186,0.0
COSME VELHO,2008,0,019,87,0.0
BOTAFOGO,2008,3,020,763,3.931847968545216
HUMAITA,2008,0,021,116,0.0
URCA,2008,1,022,49,20.408163265306122
LEME,2008,0,023,119,0.0
COPACABANA,2008,3,024,1193,2.5146689019279127
IPANEMA,2008,0,025,319,0.0
LEBLON,2008,2,026,377,5.305039787798409
LAGOA,2008,0,027,188,0.0
JARDIM BOTANICO,2008,0,028,205,0.0
GAVEA,2008,0,029,257,0.0
VIDIGAL,2008,1,030,224,4.464285714285714
SAO CONRADO,2008,0,031,96,0.0
PRACA DA BANDEIRA,2008,0,032,90,0.0
TIJUCA,2008,5,033,1664,3.0048076923076925
ALTO DA BOA VISTA,2008,0,034,117,0.0
MARACANA,2008,1,035,206,4.854368932038835
VILA ISABEL,2008,4,036,776,5.154639175257732
ANDARAI,2008,2,037,344,5.813953488372093
GRAJAU,2008,0,038,376,0.0
MANGUINHOS,2008,4,039,486,8.23045267489712
BONSUCESSO,2008,7,040,975,7.17948717948718
RAMOS,2008,5,041,912,5.482456140350877
OLARIA,2008,3,042,630,4.761904761904763
PENHA,2008,11,043,1127,9.760425909494232
PENHA CIRCULAR,2008,2,044,370,5.405405405405405
BRAS DE PINA,2008,4,045,582,6.8728522336769755
CORDOVIL,2008,4,046,625,6.4
PARADA DE LUCAS,2008,3,047,288,10.416666666666666
VIGARIO GERAL,2008,2,048,434,4.608294930875576
JARDIM AMERICA,2008,7,049,517,13.539651837524179
