cep,bairro,cidade,logradouro
21235320,Colégio,Rio de Janeiro,Rua Ana Câmara
20760610,Pilares,Rio de Janeiro,Rua Ibaté
22790600,Recreio dos Bandeirantes,Rio de Janeiro,Rua Alfredo Volpi
22723427,Taquara,Rio de Janeiro,Estrada Meringuava
22770333,Cidade de Deus,Rio de Janeiro,Estrada Marechal Miguel Salazar Mendes de Morais
21645410,Ricardo de Albuquerque,Rio de Janeiro,Rua Moraes Pinheiro
21630130,Anchieta,Rio de Janeiro,Rua Ernesto Vieira
22713030,Taquara,Rio de Janeiro,Rua Triangulo Mineiro
24020125,Centro,Niterói,Rua Quinze de Novembro
21042070,Maré,Rio de Janeiro,Rua dos Caetés
20530560,Tijuca,Rio de Janeiro,Rua Amoroso Costa
21720162,Padre Miguel,Rio de Janeiro,Estrada da Água Branca
21735300,Realengo,Rio de Janeiro,Rua da Imperatriz
21520440,Pavuna,Rio de Janeiro,Rua Sargento Benevides Monte
20780150,Engenho Novo,Rio de Janeiro,Rua Vaz de Toledo
21330740,Vila Valqueire,Rio de Janeiro,Rua das Dálias
22421030,Ipanema,Rio de Janeiro,Rua Redentor
20785130,Cachambi,Rio de Janeiro,Rua Barcelona
21530090,Coelho Neto,Rio de Janeiro,Rua Vítor Frond
21320090,Praça Seca,Rio de Janeiro,Rua Espírito Santo
22735000,Tanque,Rio de Janeiro,Avenida Geremário Dantas
22710032,Curicica,Rio de Janeiro,Rua Porto Vitória
23088210,Campo Grande,Rio de Janeiro,Rua Graviola
23085800,Campo Grande,Rio de Janeiro,Rua Cristais Paulista
20973012,Benfica,Rio de Janeiro,Avenida Dom Hélder Câmara
20760510,Inhaúma,Rio de Janeiro,Rua Vaz da Costa
21340461,Oswaldo Cruz,Rio de Janeiro,Rua Andrade Araújo
20241220,Glória,Rio de Janeiro,Rua Cândido Mendes
20775065,Méier,Rio de Janeiro,Rua Santa Fé
20785200,Cachambi,Rio de Janeiro,Rua Engenheiro Thomaz Guimarães
21555060,Rocha Miranda,Rio de Janeiro,Rua Corumbiara
21321000,Praça Seca,Rio de Janeiro,Rua Baronesa
23515170,Santa Cruz,Rio de Janeiro,Rua Visconde de Araguaia
21070280,Penha,Rio de Janeiro,Rua Ipojuca
23027460,Guaratiba,Rio de Janeiro,Estrada da Pedra
22245150,Laranjeiras,Rio de Janeiro,Rua Professor Estelita Lins
21830008,Bangu,Rio de Janeiro,Avenida de Santa Cruz
20550155,Maracanã,Rio de Janeiro,Rua Santa Luísa
21831443,Senador Camará,Rio de Janeiro,Rua da Mangueira
22711040,Curicica,Rio de Janeiro,Rua Transjordania
22723019,Taquara,Rio de Janeiro,Estrada da Boiuna
21720161,Padre Miguel,Rio de Janeiro,Estrada da Água Branca
21815080,Bangu,Rio de Janeiro,Rua das Avencas
21921640,Cacuia,Rio de Janeiro,Rua Iaco
23010420,Senador Vasconcelos,Rio de Janeiro,Rua Manoel Pestana
20750212,Pilares,Rio de Janeiro,Rua Heleodora
22730190,Taquara,Rio de Janeiro,Rua Apiacás
20521000,Tijuca,Rio de Janeiro,Rua dos Araujos
23085160,Senador Vasconcelos,Rio de Janeiro,Rua Morizot Leite
22765280,Anil,Rio de Janeiro,Rua Soldado Genaro Pedro Lima
21030720,Ramos,Rio de Janeiro,Rua Vinte e Cinco de Agosto
21215565,Brás de Pina,Rio de Janeiro,Estrada do Quitungo
23070400,Campo Grande,Rio de Janeiro,Rua Vergel
21520002,Pavuna,Rio de Janeiro,Avenida Pastor Martin Luther King Jr
22743031,Pechincha,Rio de Janeiro,Rua Comendador Siqueira
20755260,Abolição,Rio de Janeiro,Rua Teixeira de Azevedo
20081261,Saúde,Rio de Janeiro,Rua Sacadura Cabral
25011350,Centro,Duque de Caxias,Rua Paulo Moreno
20720035,Méier,Rio de Janeiro,Rua Sousa Aguiar
21230110,Irajá,Rio de Janeiro,Rua José Carapeba
21940400,Jardim Guanabara,Rio de Janeiro,Rua Monsenhor Magaldi
28630590,Campo do Coelho,Nova Friburgo,Avenida Antônio Mário de Azevedo
