bairro;codbairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
São Francisco Xavier;57;57;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;255;312;352;322;434;507;1023;989;828;745;571
Rocha;58;58;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;885;1008;1043;1149;1252;1241;2480;2259;1795;1515;1268
Riachuelo;59;59;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;327;414;413;482;587;641;1414;1602;1499;1523;1498
Sampaio;60;60;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;453;561;587;601;696;660;1260;1282;1040;920;772
Engenho Novo;61;61;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;1905;2036;2165;2213;2574;2929;5897;5807;4869;4337;3758
Lins de Vasconcelos;62;62;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;1502;1833;1728;1646;2140;2161;4910;4513;4020;3496;3130
Méier;63;63;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;1080;1412;1401;1616;1977;2217;5159;5494;5588;6290;7462
Todos os Santos;64;64;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;746;929;933;958;1179;1394;3491;3547;3163;3098;3154
Cachambi;65;65;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;1412;1798;1772;1790;2120;2267;5817;6317;5352;5064;4954
Engenho de Dentro;66;66;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;1772;2161;2164;2274;2599;2761;6284;6862;5647;5522;5124
Água Santa;67;67;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;280;364;303;388;370;424;950;1025;827;770;674
Encantado;68;68;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;442;614;607;677;829;754;1698;1810;1765;1698;1511
Piedade;69;69;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;1616;2081;2010;2176;2630;2522;5670;5878;5199;4757;4162
Abolição;70;70;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;313;363;376;436;565;611;1271;1414;1270;1369;1208
Pilares;71;71;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;1036;1245;1277;1393;1613;1619;3058;3416;3197;2977;2685
Vila Kosmos;72;72;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;544;749;727;849;1012;1048;2032;2052;2101;2142;1619
Vicente de Carvalho;73;73;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;1042;1261;1167;1373;1520;1461;3027;3210;2787;2419;2033
Vila da Penha;74;74;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;754;935;1017;1140;1294;1309;3022;3497;3531;3329;3508
Vista Alegre;75;75;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;645;765;814;851;970;1165;2477;2501;2405;2241;1982
Irajá;76;76;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;3596;4339;4254;4589;5211;5443;12279;13055;11552;11024;10547
Colégio;77;77;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;1496;1737;1683;1684;2060;2003;4155;3899;3221;2695;2204
Campinho;78;78;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;392;408;425;493;533;551;1164;1261;1263;1055;1034
Quintino Bocaiúva;79;79;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1021;1273;1252;1278;1540;1553;3478;3645;3483;3296;2919
Cavalcanti;80;80;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;597;768;801;819;963;921;2178;2283;1853;1482;1134
Engenheiro Leal;81;81;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;245;395;361;420;379;297;705;879;636;560;319
Cascadura;82;82;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1184;1506;1439;1562;1825;1889;3725;4102;3578;3215;2866
Madureira;83;83;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1766;2216;2099;2299;2750;2670;5627;5635;5268;4934;4442
Vaz Lobo;84;84;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;582;609;619;650;755;741;1625;1635;1414;1263;1102
