bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Sexo masculino, 0 a 4 anos;Sexo masculino, 5 a 9 anos;Sexo masculino, 10 a 14 anos;Sexo masculino, 15 a 19 anos;Sexo masculino, 20 a 24 anos;Sexo masculino, 25 a 29 anos;Sexo masculino, 30 a 39 anos;Sexo masculino, 40 a 49 anos;Sexo masculino, 50 a 59 anos;Sexo masculino, 60 a 69 anos;Sexo masculino, 70 anos ou mais;Sexo feminino, 0 a 4 anos;Sexo feminino, 5 a 9 anos;Sexo feminino, 10 a 14 anos;Sexo feminino, 15 a 19 anos;Sexo feminino, 20 a 24 anos;Sexo feminino, 25 a 29 anos;Sexo feminino, 30 a 39 anos;Sexo feminino, 40 a 49 anos;Sexo feminino, 50 a 59 anos;Sexo feminino, 60 a 69 anos;Sexo feminino, 70 anos ou mais
Colégio;77;IRAJA;14;XIV Irajá;Madureira;33;Área de Planejamento 3;3;1009;1074;1222;1078;1155;1231;2149;1878;1491;853;538;899;1107;1223;1121;1343;1347;2402;2165;1877;1121;962
Complexo do Alemão;156;COMPLEXO DO ALEMÃO;29;XXIX Complexo do Alemão;Inhaúma;34;Área de Planejamento 3;3;2835;2972;3266;2977;3279;3317;5738;4242;2770;1585;819;2745;2849;3345;3172;3367;3371;5747;4518;3073;1887;1269
Copacabana;24;COPACABANA;5;V Copacabana;Zona Sul;21;Área de Planejamento 2;2;2235;2237;2532;3034;4720;6074;9758;8482;8575;6633;8126;2165;2045;2420;3212;5038;6547;10895;10340;12652;10929;17743
Cordovil;46;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;35;Área de Planejamento 3;3;1388;1525;1864;1796;1975;2025;3216;2671;2318;1417;1062;1303;1435;1853;1777;1903;1927;3476;3278;2887;2044;2062
Cosme Velho;19;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;219;212;264;241;274;286;492;408;426;285;215;211;182;254;260;299;310;551;577;540;333;339
Cosmos;147;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;52;Área de Planejamento 5;5;2700;3097;3734;3398;3163;3177;5780;5220;3604;1879;1318;2583;2857;3508;3332;3301;3382;6344;5799;4199;2547;2085
Costa Barros;113;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;1205;1367;1451;1342;1181;1216;2048;1707;1215;651;326;1138;1228;1470;1352;1285;1238;2269;1906;1447;808;592
Curicica;119;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;926;1046;1237;1294;1169;1384;2341;2211;1640;885;687;883;1053;1201;1235;1341;1347;2533;2517;1993;1180;1086
Del Castilho;53;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;416;473;539;539;614;647;1134;930;867;536;472;399;432;540;555;596;703;1276;1125;1066;851;900
Deodoro;134;REALENGO;33;XXXIII Realengo;Bangu;51;Área de Planejamento 5;5;356;398;538;442;406;422;752;684;556;349;175;345;389;510;466;427;447;863;745;732;485;355
Encantado;68;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;336;375;528;498;622;595;1051;970;901;499;474;357;382;453;510;586;660;1161;1172;1165;835;891
Engenheiro Leal;81;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;146;175;228;244;232;250;451;424;328;173;134;236;203;264;263;299;294;484;451;384;225;225
Engenho da Rainha;55;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;738;874;1091;976;933;1072;2035;1603;1413;840;672;767;804;1016;963;998;1248;2254;1937;1869;1284;1272
Engenho de Dentro;66;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;1142;1235;1468;1554;1664;1860;3152;2903;2642;1595;1502;1034;1212;1441;1446;1697;1874;3641;3503;3543;2461;2971
Engenho Novo;61;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;1179;1214;1538;1469;1554;1741;2995;2695;2292;1321;1073;1167;1205;1502;1550;1744;1861;3557;3319;3091;1927;2178
Estácio;9;RIO COMPRIDO;3;III Rio Comprido;Centro;11;Área de Planejamento 1;1;524;586;631;641;711;752;1353;1066;840;534;396;519;590;625;656;771;803;1370;1279;1048;749;745
Flamengo;15;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;680;672;814;972;1593;2249;3341;2901;2929;2211;2795;667;636;843;1034;1665;2472;3984;3731;4253;3745;5856
Freguesia (Ilha);98;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;553;614;741;681;869;887;1473;1365;978;617;414;515;593;706;738;790;920;1648;1498;1265;816;756
Freguesia (Jacarepaguá);120;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;1959;2062;2422;2482;2604;2689;5233;5094;4022;2327;1774;1892;1972;2357;2530;2638;2999;6206;5842;4949;3325;3133
Galeão;104;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;888;871;1104;1274;922;926;1934;1637;1013;429;241;833;925;1087;988;1003;992;2133;1690;1061;535;485
Gamboa;2;PORTUARIA;1;I Portuária;Centro;11;Área de Planejamento 1;1;476;499;606;581;619;603;1010;838;621;371;204;422;459;586;494;600;566;1114;909;745;399;386
Gardênia Azul;117;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;585;626;744;717;876;943;1610;1182;800;377;211;576;628;743;705;803;956;1602;1263;918;469;381
