bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Sexo masculino, 0 a 4 anos;Sexo masculino, 5 a 9 anos;Sexo masculino, 10 a 14 anos;Sexo masculino, 15 a 19 anos;Sexo masculino, 20 a 24 anos;Sexo masculino, 25 a 29 anos;Sexo masculino, 30 a 39 anos;Sexo masculino, 40 a 49 anos;Sexo masculino, 50 a 59 anos;Sexo masculino, 60 a 69 anos;Sexo masculino, 70 anos ou mais;Sexo feminino, 0 a 4 anos;Sexo feminino, 5 a 9 anos;Sexo feminino, 10 a 14 anos;Sexo feminino, 15 a 19 anos;Sexo feminino, 20 a 24 anos;Sexo feminino, 25 a 29 anos;Sexo feminino, 30 a 39 anos;Sexo feminino, 40 a 49 anos;Sexo feminino, 50 a 59 anos;Sexo feminino, 60 a 69 anos;Sexo feminino, 70 anos ou mais
Brás de Pina;45;PENHA;11;XI Penha;Penha;35;Área de Planejamento 3;3;882;1045;1003;1071;1334;1300;2375;2501;2419;1938;1424;876;1043;973;1110;1325;1360;2679;2949;2912;2614;2607
Cordovil;46;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;35;Área de Planejamento 3;3;830;1045;957;956;1169;983;2104;2142;1990;1535;1111;802;1012;933;996;1250;1257;2336;2522;2389;2091;1978
Parada de Lucas;47;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;35;Área de Planejamento 3;3;615;647;644;685;704;728;1488;1378;1086;761;454;556;637;663;669;764;732;1731;1537;1255;1042;877
Vigário Geral;48;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;35;Área de Planejamento 3;3;1038;1149;1161;1208;1408;1272;2222;2121;1874;1545;899;1003;1144;1131;1223;1405;1353;2593;2508;2371;2001;1542
Jardim América;49;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;35;Área de Planejamento 3;3;433;529;566;610;729;664;1390;1347;1304;1148;734;462;556;524;583;707;728;1540;1529;1696;1489;1392
Higienópolis;50;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;252;328;362;402;411;466;994;1042;842;783;594;245;341;310;341;438;489;1173;1169;1132;1072;1027
Jacaré;51;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;199;267;286;266;309;313;518;540;473;338;265;237;271;255;284;319;308;654;618;552;462;421
Maria da Graça;52;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;137;143;159;166;207;229;536;539;445;421;327;138;141;167;163;214;303;565;600;511;542;548
Del Castilho;53;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;477;528;490;520;652;754;1912;1649;1135;894;581;511;535;512;501;670;887;2138;1758;1260;1129;1066
Inhaúma;54;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;841;1072;1100;1181;1303;1307;2470;2416;2292;1782;1376;870;1044;1117;1169;1325;1344;2896;2839;2616;2486;2365
Engenho da Rainha;55;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;551;705;719;737;818;797;1696;1703;1318;1054;807;576;692;714;671;804;934;1948;2006;1727;1605;1581
Tomás Coelho;56;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;549;658;639;643;707;714;1470;1421;1120;803;615;583;629;597;659;724;844;1666;1586;1415;1160;1100
São Francisco Xavier;57;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;123;156;181;157;205;256;491;456;379;325;197;127;150;167;162;227;251;532;533;449;420;372
Rocha;58;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;472;512;551;572;610;587;1173;1008;771;614;435;410;495;492;577;642;651;1307;1251;1024;901;827
Riachuelo;59;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;155;215;205;257;293;317;664;732;623;600;509;168;194;203;212;294;324;750;868;876;923;989
Sampaio;60;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;251;291;306;304;356;319;577;591;466;375;272;202;266;281;297;340;341;683;691;574;545;500
Engenho Novo;61;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;965;1060;1120;1142;1271;1353;2785;2680;2084;1775;1294;934;968;1042;1062;1299;1575;3112;3127;2785;2558;2458
Lins de Vasconcelos;62;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;800;899;846;854;1039;986;2264;2079;1714;1483;1010;693;927;876;785;1096;1169;2646;2434;2304;2007;2114
Méier;63;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;522;726;709;827;999;1104;2374;2429;2334;2430;2405;526;662;670;779;973;1113;2785;3065;3254;3860;5057
Todos os Santos;64;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;367;472;472;483;592;662;1648;1638;1362;1207;1089;372;450;456;462;585;732;1843;1909;1801;1891;2060
Cachambi;65;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;736;919;919;898;1058;1050;2671;2865;2369;2067;1631;656;871;844;882;1060;1217;3146;3452;2983;2995;3321
Engenho de Dentro;66;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;863;1132;1118;1104;1291;1291;2924;3252;2531;2192;1740;893;1015;1035;1167;1298;1470;3360;3610;3114;3324;3381
Água Santa;67;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;136;181;163;194;163;204;451;479;367;339;248;142;181;140;192;205;218;499;546;460;431;424
Encantado;68;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;234;331;310;344;424;353;830;804;778;734;510;208;283;297;333;405;401;868;1006;987;964;999
Piedade;69;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;806;1108;1053;1109;1335;1212;2638;2710;2325;2017;1394;792;968;948;1064;1288;1306;3027;3168;2874;2737;2763
Abolição;70;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;136;191;182;234;282;278;607;637;528;573;407;176;170;191;202;283;333;664;777;742;796;801
Pilares;71;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;514;643;637;713;794;777;1392;1523;1378;1226;907;516;597;640;676;819;842;1664;1893;1819;1751;1778
Vila Kosmos;72;IRAJA;14;XIV Irajá;Madureira;33;Área de Planejamento 3;3;263;348;391;390;481;487;956;908;901;941;544;274;399;330;458;531;561;1072;1144;1196;1201;1075
Vicente de Carvalho;73;IRAJA;14;XIV Irajá;Madureira;33;Área de Planejamento 3;3;512;614;607;641;744;703;1432;1517;1281;1075;738;524;647;560;730;776;756;1595;1693;1506;1344;1295
Vila da Penha;74;IRAJA;14;XIV Irajá;Madureira;33;Área de Planejamento 3;3;378;468;538;589;670;620;1373;1539;1569;1363;1197;371;463;477;551;624;689;1649;1958;1962;1966;2311
Vista Alegre;75;IRAJA;14;XIV Irajá;Madureira;33;Área de Planejamento 3;3;328;401;413;430;492;556;1124;1164;1099;932;673;317;362;399;421;478;609;1353;1337;1306;1309;1309
Irajá;76;IRAJA;14;XIV Irajá;Madureira;33;Área de Planejamento 3;3;1799;2253;2246;2374;2626;2560;5832;5890;4991;4420;3584;1785;2074;2003;2211;2583;2877;6447;7163;6561;6600;6955
Colégio;77;IRAJA;14;XIV Irajá;Madureira;33;Área de Planejamento 3;3;745;886;849;854;1013;955;2020;1819;1466;1069;769;746;847;833;830;1043;1046;2134;2077;1751;1626;1426
Campinho;78;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;211;202;225;243;266;272;556;558;571;417;340;179;202;198;250;267;279;608;703;692;638;691
Quintino Bocaiúva;79;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;523;634;633;645;753;767;1615;1666;1537;1372;985;492;634;613;628;783;783;1863;1977;1944;1924;1928
Cavalcanti;80;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;314;377;428;413;525;437;1056;1123;907;658;434;281;388;372;405;438;481;1122;1160;944;821;693
Engenheiro Leal;81;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;101;191;185;218;181;154;330;424;296;268;118;138;202;176;200;198;143;375;455;340;292;201
Cascadura;82;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;591;787;737;767;905;932;1763;1864;1572;1381;1035;576;713;700;788;920;952;1962;2236;2006;1830;1829
Madureira;83;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;888;1159;1082;1174;1379;1246;2686;2608;2393;2015;1532;862;1047;1007;1111;1366;1421;2939;3027;2875;2915;2900
Vaz Lobo;84;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;274;330;318;334;342;375;741;780;629;511;382;306;273;301;315;413;366;884;855;785;750;718
Turiaçú;85;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;318;371;310;355;401;379;713;794;657;568;398;323;346;322;347;411;430;843;917;868;794;713
Rocha Miranda;86;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;926;1105;1067;1167;1236;1205;2288;2292;2184;1815;1300;790;1095;1041;1074;1253;1211;2689;2802;2713;2645;2446
Honório Gurgel;87;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;453;592;590;572;618;644;1092;1170;1012;858;680;480;567;562;612;654;675;1291;1418;1320;1198;1145
Osvaldo Cruz;88;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;671;844;817;769;989;977;1818;1924;1875;1665;1252;610;720;768;756;1002;1067;2002;2303;2383;2377;2392
Bento Ribeiro;89;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;758;963;941;1040;1188;1232;2265;2375;2342;2079;1534;773;989;947;1015;1202;1281;2567;2815;3011;2925;2986
Marechal Hermes;90;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;988;1179;1203;1338;1404;1417;2570;2575;2528;2186;1596;962;1138;1160;1250;1439;1460;2900;3134;3170;3018;2847
Ribeira;91;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;74;67;76;89;102;98;228;246;225;182;179;55;59;94;72;106;98;257;274;298;269;318
Zumbi;92;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;48;40;43;41;42;59;108;128;115;111;97;30;41;41;38;48;51;136;152;149;139;160
Cacuia;93;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;208;279;270;318;334;361;720;735;682;504;377;226;272;258;288;332;370;806;813;828;721;670
Pitangueiras;94;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;258;318;319;266;360;369;643;712;593;519;325;243;348;329;322;381;377;779;831;753;639;556
Praia da Bandeira;95;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;106;122;121;144;172;176;403;389;294;237;196;99;130;144;123;149;184;418;447;377;341;381
Cocotá;96;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;98;130;109;110;133;164;360;357;319;295;200;74;124;120;124;140;192;410;374;408;373;403
Bancários;97;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;291;309;324;331;398;420;817;748;599;478;397;307;310;289;361;466;511;872;881;706;653;590
Freguesia (Ilha);98;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;437;493;493;481;560;613;1103;1106;899;732;536;385;442;453;487;587;657;1187;1231;1117;1005;882
Jardim Guanabara;99;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;488;537;621;682;820;802;1690;1962;1756;1543;1589;466;557;616;615;761;797;1915;2181;2212;2001;2449
Jardim Carioca;100;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;374;551;525;611;686;694;1283;1517;1398;1036;820;404;542;516;577;691;677;1503;1695;1516;1408;1332
Tauá;101;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;610;810;805;826;1027;959;1768;1910;1442;1146;855;620;800;750;808;1048;1014;2102;2161;1804;1678;1513
Moneró;102;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;92;123;119;126;172;168;369;349;367;312;335;85;132;146;121;168;202;430;403;480;427;593
Portuguesa;103;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;405;490;471;527;672;704;1344;1317;1113;908;908;426;488;504;540;702;709;1495;1594;1449;1366;1674
Galeão;104;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;746;775;760;750;756;682;1727;1582;1037;699;328;702;770;735;727;823;838;1916;1763;1141;948;570
Cidade Universitária;105;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;26;52;34;45;59;49;93;80;86;55;28;34;39;28;41;75;59;93;86;85;59;47
Guadalupe;106;ANCHIETA;22;XXII Anchieta;Pavuna;36;Área de Planejamento 3;3;1031;1210;1185;1240;1477;1328;2643;2760;2339;1922;1559;1038;1190;1073;1276;1396;1519;3160;3226;2987;2668;2761
Anchieta;107;ANCHIETA;22;XXII Anchieta;Pavuna;36;Área de Planejamento 3;3;1475;1724;1641;1810;1881;1883;3437;3513;2935;2356;1492;1376;1700;1606;1727;1964;2107;4012;4134;3610;3123;2463
Parque Anchieta;108;ANCHIETA;22;XXII Anchieta;Pavuna;36;Área de Planejamento 3;3;457;592;584;676;768;697;1310;1516;1447;1061;972;503;619;582;649;742;726;1489;1748;1751;1435;1507
Ricardo de Albuquerque;109;ANCHIETA;22;XXII Anchieta;Pavuna;36;Área de Planejamento 3;3;665;1046;939;960;1003;968;1741;1867;1673;1272;806;679;1034;898;941;1085;1025;2049;2199;1880;1631;1330
Coelho Neto;110;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;584;790;770;835;951;977;1611;1751;1655;1368;937;599;749;765;771;977;985;1901;2097;2095;1790;1761
Acari;111;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;1027;1444;1166;1160;1295;1202;2156;1988;1266;823;412;1080;1389;1099;1227;1365;1414;2576;2293;1502;1074;685
Barros Filho;112;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;694;838;808;734;757;698;1506;1357;1062;747;419;700;801;708;701;879;851;1723;1533;1230;990;686
Costa Barros;113;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;1014;1041;1012;989;1103;954;1708;1600;1357;958;559;931;988;1014;1017;1189;1133;2012;1923;1614;1248;862
Pavuna;114;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;2846;3404;3037;3194;3557;3412;6256;6191;5207;3861;2546;3041;3454;3213;3478;4038;3763;7403;7492;6382;5155;4307
Jacarepaguá;115;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;5748;6344;6010;6183;7495;7765;15022;12279;8693;5533;2871;5716;6150;5797;6124;7599;7961;15811;14195;10203;7156;4713
Anil;116;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;793;957;896;906;903;1033;2492;2341;1879;1384;1086;701;865;859;836;989;1222;2862;2763;2283;1895;1872
Gardênia Azul;117;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;652;670;709;660;886;834;1727;1474;1088;712;375;575;672;636;658;915;1013;1846;1646;1263;848;619
Cidade de Deus;118;CIDADE DE DEUS;34;XXXIV Cidade de Deus;Jacarepaguá;41;Área de Planejamento 4;4;1015;1149;1049;1134;1296;1199;2016;1726;1715;1195;616;950;1105;1067;1132;1301;1250;2229;2108;2124;1583;1318
Curicica;119;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;740;886;835;871;1033;1099;2139;1930;1783;1370;899;734;832;825;820;1065;1116;2389;2239;2216;1741;1421
Freguesia (Jacarepaguá);120;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;1662;1981;2025;2008;2141;2142;4990;5696;4678;3555;2895;1586;1951;1910;1977;2244;2392;5980;6707;5811;4952;5338
Pechincha;121;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;840;1068;1020;966;1023;1197;2929;2906;2239;1917;1492;800;938;970;892;1158;1274;3324;3490;2889;2791;2791
Taquara;122;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;2538;3034;2921;2983;3396;3455;7566;7743;6288;5031;3849;2495;2907;2768;2857;3445;3809;8956;9011;7854;7332;6961
Tanque;123;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;918;1093;1116;1057;1266;1304;2640;2400;2098;1697;1182;888;1095;1081;1083;1245;1377;2945;2963;2638;2348;2187
Praça Seca;124;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;1698;2005;1969;1968;2136;2236;4171;4248;3631;2870;2025;1686;1927;1805;1934;2259;2410;4701;5049;4513;3998;3993
Vila Valqueire;125;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;684;874;881;914;1130;1040;2094;2343;2162;1934;1470;680;875;820;949;1018;1101;2438;2793;2734;2544;2497
Joá;126;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;8;22;28;24;14;21;82;93;86;46;69;14;13;18;21;20;29;75;91;80;58;71
Itanhangá;127;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;2177;2756;2125;2239;3094;3333;6230;5207;3068;1707;777;2015;2534;1954;2332;3359;3417;6700;5683;3641;2059;1219
