bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Sexo masculino, 0 a 4 anos;Sexo masculino, 5 a 9 anos;Sexo masculino, 10 a 14 anos;Sexo masculino, 15 a 19 anos;Sexo masculino, 20 a 24 anos;Sexo masculino, 25 a 29 anos;Sexo masculino, 30 a 39 anos;Sexo masculino, 40 a 49 anos;Sexo masculino, 50 a 59 anos;Sexo masculino, 60 a 69 anos;Sexo masculino, 70 anos ou mais;Sexo feminino, 0 a 4 anos;Sexo feminino, 5 a 9 anos;Sexo feminino, 10 a 14 anos;Sexo feminino, 15 a 19 anos;Sexo feminino, 20 a 24 anos;Sexo feminino, 25 a 29 anos;Sexo feminino, 30 a 39 anos;Sexo feminino, 40 a 49 anos;Sexo feminino, 50 a 59 anos;Sexo feminino, 60 a 69 anos;Sexo feminino, 70 anos ou mais
Cachambi;65;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;1162;1192;1399;1628;1592;1410;2788;2844;1926;1475;1175;1116;1174;1371;1657;1644;1634;3356;3653;2677;2217;2244
Cacuia;93;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;398;373;348;388;433;416;823;668;434;297;197;362;344;350;441;454;433;845;749;524;362;313
Caju;4;PORTUARIA;1;I Portuária;Centro;11;Área de Planejamento 1;1;879;744;742;779;876;775;1366;952;644;423;318;880;753;755;828;865;807;1418;1053;704;528;590
Camorim;129;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;55;53;39;29;49;35;63;48;20;11;5;40;41;35;43;39;24;80;40;15;11;11
Campinho;78;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;328;333;319;366;339;329;685;592;400;307;282;329;304;322;425;419;373;739;692;594;482;448
Campo dos Afonsos;136;REALENGO;33;XXXIII Realengo;Bangu;51;Área de Planejamento 5;5;39;76;94;93;41;17;136;210;26;8;15;46;72;90;74;52;24;188;146;31;16;21
Campo Grande;144;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;52;Área de Planejamento 5;5;12668;12313;12888;14049;13138;11889;22189;19566;12333;7052;4495;12227;12257;12612;13865;13701;12621;24613;22579;14202;9024;7213
Cascadura;82;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;1239;1203;1229;1386;1322;1207;2214;2119;1479;1128;861;1181;1171;1214;1481;1480;1306;2640;2597;1935;1635;1499
Catete;18;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;560;550;566;745;842;790;1533;1421;998;809;726;548;577;587;705;867;852;1827;1836;1492;1375;1518
Catumbi;6;RIO COMPRIDO;3;III Rio Comprido;Centro;11;Área de Planejamento 1;1;584;558;554;516;534;538;862;717;519;354;259;612;471;503;568;639;617;1020;855;617;529;488
Cavalcanti;80;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;653;624;605;703;645;590;1138;985;703;493;301;651;572;631;660;683;631;1299;1155;811;670;570
Centro;5;CENTRO;2;II Centro;Centro;11;Área de Planejamento 1;1;971;865;970;1325;1592;1520;3028;2757;2016;1666;1368;1023;863;922;1324;1602;1602;3184;3387;2642;2214;2294
Cidade de Deus;118;CIDADE DE DEUS;34;XXXIV Cidade de Deus;Jacarepaguá;41;Área de Planejamento 4;4;1868;1874;1781;1735;1601;1460;2994;1981;1147;941;468;1864;1762;1671;1823;1745;1726;3370;2306;1652;1423;824
Cidade Nova;8;RIO COMPRIDO;3;III Rio Comprido;Centro;11;Área de Planejamento 1;1;224;206;190;236;272;218;364;311;232;158;128;245;171;168;213;230;203;410;374;293;231;205
Cidade Universitária;105;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;81;83;71;74;82;87;164;100;66;35;16;94;65;78;92;83;103;158;93;47;41;23
Cocotá;96;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;145;143;178;193;175;177;317;356;231;171;139;125;134;166;236;199;201;404;421;306;238;255
Coelho Neto;110;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;1317;1157;1213;1305;1304;1270;2343;1921;1474;1099;610;1153;1123;1160;1387;1405;1418;2653;2339;2008;1429;964
Colégio;77;IRAJA;14;XIV Irajá;Madureira;33;Área de Planejamento 3;3;1211;1063;1145;1250;1153;1056;1831;1632;1071;641;435;1148;1098;1231;1407;1196;1199;2101;1853;1237;837;693
Complexo do Alemão;156;COMPLEXO DO ALEMÃO;29;XXIX Complexo do Alemão;Inhaúma;34;Área de Planejamento 3;3;3558;3325;3015;3225;3177;2912;4916;3632;2157;1180;670;3568;3238;3009;3301;3291;2776;5200;3869;2412;1588;1007
Copacabana;24;COPACABANA;5;V Copacabana;Zona Sul;21;Área de Planejamento 2;2;2629;2600;2915;4101;5449;5063;9334;8466;7262;6343;7353;2552;2619;2910;4461;6170;5748;10859;11908;11496;11033;15750
Cordovil;46;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;35;Área de Planejamento 3;3;1979;1839;1765;1961;1915;1713;3269;2923;2017;1436;846;1858;1815;1789;2146;1973;1933;3790;3423;2540;2019;1584
Cosme Velho;19;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;270;229;282;296;312;275;460;493;360;221;155;258;255;253;307;360;265;569;615;432;268;294
Cosmos;147;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;52;Área de Planejamento 5;5;3369;3158;3089;3175;2878;2742;5312;3831;2224;1495;801;3175;3079;3082;3099;2922;2918;5589;4262;2694;1818;1249
Costa Barros;113;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;1472;1348;1217;1307;1157;1012;1935;1494;870;467;251;1405;1376;1237;1296;1254;1067;2095;1685;983;608;386
Curicica;119;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;1071;1043;1007;1085;1094;982;1989;1567;949;709;435;1031;968;1004;1100;1131;1063;2221;1812;1146;877;555
Del Castilho;53;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;452;478;480;584;580;527;893;924;662;514;419;424;427;500;560;596;591;1086;1118;916;737;778
Deodoro;134;REALENGO;33;XXXIII Realengo;Bangu;51;Área de Planejamento 5;5;518;496;468;515;463;451;835;717;518;268;134;487;529;495;566;521;520;879;914;622;330;347
Encantado;68;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;516;535;572;576;594;576;1137;1035;656;567;426;472;504;495;617;651;590;1222;1231;907;782;751
Engenheiro Leal;81;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;270;288;277;274;254;265;423;357;250;178;103;258;245;273;290;255;261;474;430;333;235;203
Engenho da Rainha;55;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;1012;1030;1008;1223;1164;1008;1853;1719;1183;878;563;958;953;1054;1191;1192;1145;2232;2153;1578;1266;948
Engenho de Dentro;66;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;1520;1492;1542;1968;1954;1616;3237;3055;2078;1612;1341;1368;1453;1644;1902;2049;1768;3695;3895;2805;2390;2450
Engenho Novo;61;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;1725;1586;1639;1715;1783;1682;3232;2770;1794;1244;1030;1544;1595;1650;1880;1988;1938;3712;3557;2445;1968;1995
Estácio;9;RIO COMPRIDO;3;III Rio Comprido;Centro;11;Área de Planejamento 1;1;642;671;664;827;1369;1346;2222;1566;860;532;388;684;636;654;752;840;737;1465;1437;931;737;672
Flamengo;15;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;877;902;1042;1572;1923;1824;3458;3168;2767;2309;2621;917;900;1046;1641;2322;2138;4011;4470;4159;4014;5187
Freguesia (Ilha);98;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;726;674;692;843;800;758;1436;1144;744;477;354;764;668;682;846;857;824;1608;1371;949;625;529
Freguesia (Jacarepaguá);120;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;1833;2010;2125;2325;2107;1906;4045;3770;2386;1606;1062;1754;1932;2014;2272;2186;2333;4919;4484;3112;2002;1827
Galeão;104;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;1001;966;1005;1101;1051;906;1762;1616;677;289;237;1015;927;1013;1084;1099;923;1970;1528;709;392;362
Gamboa;2;PORTUARIA;1;I Portuária;Centro;11;Área de Planejamento 1;1;511;494;439;483;533;450;743;595;407;254;178;472;425;411;469;502;452;799;736;438;371;328
Gardênia Azul;117;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;1089;930;816;890;1069;916;1620;1109;599;289;153;1015;887;866;999;1022;898;1694;1183;616;348;260
Gávea;29;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;407;429;512;620;775;739;1221;1188;1015;588;443;387;420;507;716;847;722;1429;1635;1267;722;886
Glória;16;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;217;183;242;315;384;349;760;714;470;407;357;200;223;242;306;373;372;864;928;706;684;802
Grajaú;38;VILA ISABEL;9;IX Vila Isabel;Tijuca;22;Área de Planejamento 2;2;1059;1077;1281;1481;1467;1261;2593;2607;1809;1357;1217;993;1043;1226;1528;1604;1511;3049;3381;2402;1898;2452
Grumari;133;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;5;5;8;8;6;7;9;10;4;2;1;9;8;10;13;8;5;9;4;3;0;2
Guadalupe;106;ANCHIETA;22;XXII Anchieta;Pavuna;36;Área de Planejamento 3;3;1744;1838;1824;2006;1930;1744;3222;2818;2117;1396;921;1725;1702;1771;2059;1985;1946;3635;3625;2759;1867;1691
Guaratiba;151;GUARATIBA;26;XXVI Guaratiba;Guaratiba;54;Área de Planejamento 5;5;4879;4377;3912;4000;4079;4057;6891;5152;3176;1934;1044;4818;4243;3885;4000;4233;3957;6908;5105;3136;1947;1399
Higienópolis;50;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;478;460;592;659;650;636;1216;1107;756;596;443;461;513;544;679;701;691;1360;1461;985;823;776
Honório Gurgel;87;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;911;900;900;972;893;836;1604;1355;991;593;429;874;843;860;960;968;934;1811;1646;1152;859;719
Humaitá;21;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;324;338;376;509;601;551;1072;1061;809;540;448;288;352;381;537;634;625;1353;1470;1101;814;1002
Imperial de São Cristóvão;10;SAO CRISTOVAO;7;VII São Cristóvão;Centro;11;Área de Planejamento 1;1;1303;1268;1299;1573;2023;1778;3054;2528;1675;1199;938;1249;1230;1377;1580;1570;1492;3024;2764;2035;1702;1673
Inhaúma;54;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;1687;1597;1657;1849;1819;1639;3027;2668;1967;1347;892;1559;1554;1598;1888;1927;1724;3453;3253;2336;1737;1544
Inhoaíba;146;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;52;Área de Planejamento 5;5;3276;3119;2977;2827;2585;2365;4731;3456;1986;1166;581;3124;2948;2850;2825;2681;2580;5019;3805;2244;1475;916
Ipanema;25;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;1008;968;982;1421;1779;1637;2951;2837;2516;1897;2402;970;890;997;1474;1992;1887;3584;3865;3432;3016;4303
Irajá;76;IRAJA;14;XIV Irajá;Madureira;33;Área de Planejamento 3;3;3391;3414;3694;4342;3992;3610;7082;6774;4911;3350;2325;3303;3272;3557;4273;4281;4058;8324;8699;6293;4764;4150
Itanhangá;127;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;1183;978;902;930;1301;1315;1921;1238;673;283;154;1194;972;873;1097;1315;1219;1945;1181;630;303;206
Jacaré;51;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;297;242;258;340;337;283;473;437;334;242;188;267;277;299;319;336;284;551;589;402;321;316
Jacarepaguá;115;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;5430;4770;4221;4567;5978;5407;8489;5805;3132;1627;832;5028;4545;4307;4849;5386;4932;8659;6200;3298;1995;1365
Jacarezinho;155;JACAREZINHO;28;XXVIII Jacarezinho;Méier;32;Área de Planejamento 3;3;1770;1628;1573;1688;1696;1575;2679;2158;1351;828;449;1785;1635;1642;1841;1744;1641;2948;2408;1546;1082;792
Jardim América;49;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;35;Área de Planejamento 3;3;1003;896;958;1128;1029;949;2007;1812;1004;784;648;927;889;1000;1138;1060;1028;2275;2055;1316;1133;907
Jardim Botânico;28;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;482;548;555;676;755;656;1373;1443;1096;698;617;465;513;548;687;800;789;1648;1783;1349;946;1133
Jardim Carioca;100;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;980;905;938;1133;1114;1044;1890;1651;1111;716;459;896;902;1019;1116;1195;1079;2203;2017;1258;858;718
Jardim Guanabara;99;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;805;782;946;1288;1308;1068;2003;2114;1752;1206;791;670;788;925;1240;1400;1262;2378;2626;2005;1388;1141
Jardim Sulacap;137;REALENGO;33;XXXIII Realengo;Bangu;51;Área de Planejamento 5;5;389;410;431;503;387;352;966;844;461;359;256;347;383;411;435;449;451;1108;908;558;439;374
Joá;126;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;25;26;26;41;56;48;64;73;71;44;23;14;19;27;48;60;45;75;78;58;28;22
Lagoa;27;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;440;435;543;648;760;608;1201;1425;1273;695;507;404;421;544;680;848;744;1645;1806;1467;756;825
Laranjeiras;17;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;969;1100;1265;1729;1784;1655;3033;3049;2285;1655;1631;978;993;1265;1731;1945;1856;3754;4237;3309;2669;3489
Leblon;26;LAGOA;6;VI Lagoa;Zona Sul;21;Área de Planejamento 2;2;891;929;1072;1464;1878;1600;2840;2954;2712;2044;2103;837;966;1066;1555;1995;1844;3505;3990;3614;2943;3868
Leme;23;COPACABANA;5;V Copacabana;Zona Sul;21;Área de Planejamento 2;2;304;339;341;404;509;497;906;859;734;562;625;315;310;359;457;582;533;1090;1140;1106;876;1309
Lins de Vasconcelos;62;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;1403;1394;1291;1494;1468;1288;2367;2228;1358;1033;822;1322;1278;1356;1516;1537;1401;2892;2755;1914;1502;1552
Madureira;83;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;1885;1780;1945;2137;2030;1823;3437;3367;2228;1707;1221;1939;1777;1815;2198;2199;1979;4003;4119;2976;2569;2276
Magalhães Bastos;138;REALENGO;33;XXXIII Realengo;Bangu;51;Área de Planejamento 5;5;1042;1009;1152;1122;1131;943;1840;1579;1061;639;418;962;977;1034;1120;1008;1014;2101;1885;1199;884;729
Mangueira;11;SAO CRISTOVAO;7;VII São Cristóvão;Centro;11;Área de Planejamento 1;1;735;691;593;667;608;540;927;776;445;283;175;705;668;665;742;652;555;1114;875;538;397;243
Manguinhos;39;RAMOS;10;X Ramos;Ramos;31;Área de Planejamento 3;3;1859;1587;1447;1405;1506;1409;2395;1733;919;492;291;1817;1486;1440;1604;1594;1410;2525;1869;1073;692;506
Maracanã;35;VILA ISABEL;9;IX Vila Isabel;Tijuca;22;Área de Planejamento 2;2;629;691;812;1053;1056;849;1942;1907;1337;986;971;569;599;781;1027;1134;1020;2192;2520;1782;1540;1922
Maré;157;COMPLEXO DA MARE;30;XXX Maré;Ramos;31;Área de Planejamento 3;3;6388;5606;4993;5086;6171;5697;9366;6454;3489;2018;996;6232;5301;5047;5332;5989;5584;9490;6624;3893;2523;1528
Marechal Hermes;90;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;1890;1874;2007;2246;2153;1804;3456;3124;2147;1462;947;1813;1858;1850;2223;2097;1882;4053;3764;2703;2024;1809
Maria da Graça;52;INHAUMA;12;XII Inhaúma;Inhaúma;34;Área de Planejamento 3;3;243;227;286;307;303;243;601;552;439;315;274;223;237;230;285;348;310;685;701;495;433;452
Méier;63;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;1106;1231;1554;1965;1929;1560;3009;3573;2544;2159;1948;966;1143;1552;1954;2069;1692;3923;4738;3675;3316;3738
Moneró;102;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;164;146;168;242;273;209;439;366;345;314;166;149;162;168;244;282;253;511;502;441;353;283
Olaria;42;RAMOS;10;X Ramos;Ramos;31;Área de Planejamento 3;3;2105;2095;2200;2536;2532;2266;4364;3840;3068;2284;1584;2051;2043;2095;2466;2689;2555;4945;4835;4034;3093;2829
Osvaldo Cruz;88;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;1233;1244;1331;1526;1393;1272;2495;2361;1680;1206;765;1253;1179;1262;1499;1537;1429;2837;2981;2141;1789;1488
Paciência;148;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;53;Área de Planejamento 5;5;4409;4064;3969;4141;3828;3394;5964;5121;3066;1580;981;4053;3980;3857;4231;4090;3431;6559;5795;3417;2139;1492
Padre Miguel;140;BANGU;17;XVII Bangu;Bangu;51;Área de Planejamento 5;5;2676;2561;2541;3096;2827;2478;4574;4265;2839;1646;1219;2513;2602;2536;3077;2860;2598;5164;5020;3221;2295;2146
Paquetá;13;PAQUETA;21;XXI Paquetá;Centro;11;Área de Planejamento 1;1;109;127;112;146;111;117;210;228;166;155;154;100;108;102;120;130;111;229;272;197;198;219
Parada de Lucas;47;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;35;Área de Planejamento 3;3;1177;1040;942;1024;1019;943;1760;1368;859;608;394;1140;1007;960;1021;1088;950;1840;1570;1115;826;618
Parque Anchieta;108;ANCHIETA;22;XXII Anchieta;Pavuna;36;Área de Planejamento 3;3;1083;1053;1047;1205;1218;1101;2042;1591;1317;856;432;1055;1014;1053;1242;1237;1247;2282;1981;1487;940;609
Parque Colúmbia;159;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;426;410;402;424;412;356;754;514;326;282;146;425;409;362;410;399;422;821;591;372;328;203
Pavuna;114;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;4099;3899;3784;4061;3844;3529;6739;5677;3653;2280;1354;4033;3762;3701;4201;4240;3886;7472;6632;4210;3000;1971
Pechincha;121;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;1007;1094;1158;1376;1222;1095;2370;2319;1472;888;592;1042;1024;1149;1398;1303;1291;2874;2898;1725;1196;1122
Pedra de Guaratiba;153;GUARATIBA;26;XXVI Guaratiba;Guaratiba;54;Área de Planejamento 5;5;405;396;420;444;434;327;696;618;429;317;216;381;375;373;410;419;357;797;707;509;357;306
Penha;43;PENHA;11;XI Penha;Penha;35;Área de Planejamento 3;3;2787;2735;2760;3001;3017;2653;5125;4727;3140;2264;1590;2744;2738;2885;3124;3113;2829;5954;5520;3926;3117;2943
Penha Circular;44;PENHA;11;XI Penha;Penha;35;Área de Planejamento 3;3;1827;1816;1971;2112;2150;1901;3599;3254;2236;1621;1168;1818;1856;1869;2168;2173;2011;4129;4010;2942;2433;2049
Piedade;69;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;1491;1530;1566;1752;1806;1668;2988;2964;1902;1557;1135;1423;1422;1542;1809;1901;1649;3526;3620;2583;2164;2113
Pilares;71;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;1004;932;1037;1169;1160;925;1971;1884;1252;979;822;984;973;1052;1237;1180;1100;2260;2366;1681;1549;1439
Pitangueiras;94;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;461;438;442;491;516;458;918;763;473;324;217;464;432;468;534;521;477;1031;868;557;444;308
Portuguesa;103;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;833;777;923;1098;1096;1026;1601;1483;1223;809;602;737;728;842;1098;1172;1054;1899;1969;1646;1125;992
Praça da Bandeira;32;TIJUCA;8;VIII Tijuca;Tijuca;22;Área de Planejamento 2;2;265;223;268;333;396;337;636;607;402;349;242;237;246;249;332;403;411;739;773;590;519;545
Praça Seca;124;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;2250;2202;2263;2480;2423;2186;4195;3915;2527;1787;1420;2169;2172;2236;2642;2543;2372;4775;4674;3295;2482;2649
Praia da Bandeira;95;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;196;211;225;260;253;275;517;418;313;203;141;221;212;232;276;273;300;573;565;418;289;216
Quintino Bocaiúva;79;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;1217;1148;1263;1455;1463;1277;2367;2241;1581;1197;865;1158;1156;1222;1473;1454;1417;2796;2807;1927;1668;1605
Ramos;41;RAMOS;10;X Ramos;Ramos;31;Área de Planejamento 3;3;1226;1164;1283;1431;1482;1400;2593;2474;1779;1361;1118;1128;1114;1213;1461;1554;1437;2950;3029;2340;2020;1980
Realengo;139;REALENGO;33;XXXIII Realengo;Bangu;51;Área de Planejamento 5;5;7335;7268;7164;8122;7541;6926;13053;11208;7296;4743;2967;7040;6916;7258;7938;7816;7362;14593;13307;9125;6364;4935
Recreio dos Bandeirantes;132;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;1631;1496;1410;1621;1762;1728;3319;2780;1638;855;436;1596;1346;1411;1596;1854;1929;3495;2650;1589;848;582
Riachuelo;59;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;380;382;422;487;489;435;867;919;574;473;426;370;348;406;479;549;462;1137;1143;830;692;837
Ribeira;91;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;92;96;114;118;134;114;251;255;171;122;101;84;86;97;133;150;135;253;290;189;174;164
Ricardo de Albuquerque;109;ANCHIETA;22;XXII Anchieta;Pavuna;36;Área de Planejamento 3;3;1155;1162;1121;1301;1076;1050;2044;1762;1089;747;459;1105;1079;1135;1234;1212;1149;2284;2064;1344;1012;799
Rio Comprido;7;RIO COMPRIDO;3;III Rio Comprido;Centro;11;Área de Planejamento 1;1;1233;1163;1301;1420;1450;1276;2272;2199;1446;1036;960;1181;1125;1262;1533;1577;1436;2795;2834;1981;1537;1816
