cod_ap_sms,ano,faixa_etaria,1. Causas evitáveis,2. Causas mal definidas,3. Demais causas (não claramente evitáveis),total,percentual_evitaveis
2.2,2016,de 1 a 4 anos,1,0,5,6,16.67
2.2,2016,menores de 1 ano,19,1,9,29,65.52
2.2,2016,menores de 5 anos,20,1,14,35,57.14
2.2,2017,de 1 a 4 anos,3,0,3,6,50.0
2.2,2017,menores de 1 ano,22,1,11,34,64.71
2.2,2017,menores de 5 anos,25,1,14,40,62.5
2.2,2018,de 1 a 4 anos,4,1,4,9,44.44
2.2,2018,menores de 1 ano,20,1,15,36,55.56
2.2,2018,menores de 5 anos,24,2,19,45,53.33
2.2,2019,de 1 a 4 anos,1,1,1,3,33.33
2.2,2019,menores de 1 ano,19,1,5,25,76.0
2.2,2019,menores de 5 anos,20,2,6,28,71.43
2.2,2020,de 1 a 4 anos,1,0,3,4,25.0
2.2,2020,menores de 1 ano,16,1,9,26,61.54
2.2,2020,menores de 5 anos,17,1,12,30,56.67
2.2,2021,de 1 a 4 anos,1,1,2,4,25.0
2.2,2021,menores de 1 ano,17,0,8,25,68.0
2.2,2021,menores de 5 anos,18,1,10,29,62.07
2.2,2022,de 1 a 4 anos,0,0,2,2,0.0
2.2,2022,menores de 1 ano,19,1,5,25,76.0
2.2,2022,menores de 5 anos,19,1,7,27,70.37
2.2,2023,de 1 a 4 anos,5,0,0,5,100.0
2.2,2023,menores de 1 ano,16,0,5,21,76.19
2.2,2023,menores de 5 anos,21,0,5,26,80.77
2.2,2024,de 1 a 4 anos,1,0,0,1,100.0
2.2,2024,menores de 1 ano,18,0,6,24,75.0
2.2,2024,menores de 5 anos,19,0,6,25,76.0
2.2,2025,de 1 a 4 anos,6,0,0,6,100.0
2.2,2025,menores de 1 ano,9,0,5,14,64.29
2.2,2025,menores de 5 anos,15,0,5,20,75.0
3.1,2006,de 1 a 4 anos,12,3,11,26,46.15
3.1,2006,menores de 1 ano,93,9,32,134,69.4
3.1,2006,menores de 5 anos,105,12,43,160,65.62
3.1,2007,de 1 a 4 anos,13,1,8,22,59.09
3.1,2007,menores de 1 ano,111,7,37,155,71.61
3.1,2007,menores de 5 anos,124,8,45,177,70.06
3.1,2008,de 1 a 4 anos,18,2,12,32,56.25
3.1,2008,menores de 1 ano,107,6,52,165,64.85
3.1,2008,menores de 5 anos,125,8,64,197,63.45
3.1,2009,de 1 a 4 anos,13,1,7,21,61.9
3.1,2009,menores de 1 ano,111,6,41,158,70.25
3.1,2009,menores de 5 anos,124,7,48,179,69.27
3.1,2010,de 1 a 4 anos,24,0,11,35,68.57
3.1,2010,menores de 1 ano,89,13,31,133,66.92
3.1,2010,menores de 5 anos,113,13,42,168,67.26
3.1,2011,de 1 a 4 anos,14,5,9,28,50.0
3.1,2011,menores de 1 ano,88,9,45,142,61.97
3.1,2011,menores de 5 anos,102,14,54,170,60.0
3.1,2012,de 1 a 4 anos,8,2,13,23,34.78
3.1,2012,menores de 1 ano,97,13,45,155,62.58
3.1,2012,menores de 5 anos,105,15,58,178,58.99
3.1,2013,de 1 a 4 anos,4,3,3,10,40.0
3.1,2013,menores de 1 ano,118,8,39,165,71.52
3.1,2013,menores de 5 anos,122,11,42,175,69.71
3.1,2014,de 1 a 4 anos,12,1,8,21,57.14
3.1,2014,menores de 1 ano,84,7,46,137,61.31
3.1,2014,menores de 5 anos,96,8,54,158,60.76
3.1,2015,de 1 a 4 anos,12,3,4,19,63.16
3.1,2015,menores de 1 ano,114,6,37,157,72.61
3.1,2015,menores de 5 anos,126,9,41,176,71.59
3.1,2016,de 1 a 4 anos,15,1,14,30,50.0
3.1,2016,menores de 1 ano,124,5,39,168,73.81
3.1,2016,menores de 5 anos,139,6,53,198,70.2
3.1,2017,de 1 a 4 anos,17,0,11,28,60.71
3.1,2017,menores de 1 ano,99,5,33,137,72.26
3.1,2017,menores de 5 anos,116,5,44,165,70.3
3.1,2018,de 1 a 4 anos,13,0,10,23,56.52
3.1,2018,menores de 1 ano,99,8,36,143,69.23
3.1,2018,menores de 5 anos,112,8,46,166,67.47
3.1,2019,de 1 a 4 anos,9,0,16,25,36.0
3.1,2019,menores de 1 ano,91,4,36,131,69.47
3.1,2019,menores de 5 anos,100,4,52,156,64.1
3.1,2020,de 1 a 4 anos,9,1,4,14,64.29
3.1,2020,menores de 1 ano,91,5,38,134,67.91
3.1,2020,menores de 5 anos,100,6,42,148,67.57
3.1,2021,de 1 a 4 anos,9,1,9,19,47.37
3.1,2021,menores de 1 ano,69,2,26,97,71.13
3.1,2021,menores de 5 anos,78,3,35,116,67.24
3.1,2022,de 1 a 4 anos,6,2,13,21,28.57
3.1,2022,menores de 1 ano,74,3,41,118,62.71
3.1,2022,menores de 5 anos,80,5,54,139,57.55
3.1,2023,de 1 a 4 anos,8,0,8,16,50.0
3.1,2023,menores de 1 ano,89,3,36,128,69.53
3.1,2023,menores de 5 anos,97,3,44,144,67.36
3.1,2024,de 1 a 4 anos,5,0,8,13,38.46
3.1,2024,menores de 1 ano,79,3,31,113,69.91
3.1,2024,menores de 5 anos,84,3,39,126,66.67
3.1,2025,de 1 a 4 anos,8,1,9,18,44.44
3.1,2025,menores de 1 ano,64,3,30,97,65.98
3.1,2025,menores de 5 anos,72,4,39,115,62.61
3.2,2006,de 1 a 4 anos,11,2,6,19,57.89
3.2,2006,menores de 1 ano,68,3,22,93,73.12
3.2,2006,menores de 5 anos,79,5,28,112,70.54
3.2,2007,de 1 a 4 anos,8,1,9,18,44.44
3.2,2007,menores de 1 ano,64,7,27,98,65.31
3.2,2007,menores de 5 anos,72,8,36,116,62.07
3.2,2008,de 1 a 4 anos,6,0,11,17,35.29
3.2,2008,menores de 1 ano,62,5,20,87,71.26
3.2,2008,menores de 5 anos,68,5,31,104,65.38
3.2,2009,de 1 a 4 anos,10,0,6,16,62.5
3.2,2009,menores de 1 ano,68,4,34,106,64.15
3.2,2009,menores de 5 anos,78,4,40,122,63.93
3.2,2010,de 1 a 4 anos,5,2,10,17,29.41
3.2,2010,menores de 1 ano,56,4,26,86,65.12
3.2,2010,menores de 5 anos,61,6,36,103,59.22
3.2,2011,de 1 a 4 anos,3,1,7,11,27.27
3.2,2011,menores de 1 ano,55,3,30,88,62.5
3.2,2011,menores de 5 anos,58,4,37,99,58.59
3.2,2012,de 1 a 4 anos,11,1,5,17,64.71
3.2,2012,menores de 1 ano,53,4,25,82,64.63
3.2,2012,menores de 5 anos,64,5,30,99,64.65
3.2,2013,de 1 a 4 anos,9,0,8,17,52.94
3.2,2013,menores de 1 ano,53,4,28,85,62.35
3.2,2013,menores de 5 anos,62,4,36,102,60.78
3.2,2014,de 1 a 4 anos,11,0,9,20,55.0
3.2,2014,menores de 1 ano,49,7,24,80,61.25
3.2,2014,menores de 5 anos,60,7,33,100,60.0
3.2,2015,de 1 a 4 anos,4,0,2,6,66.67
3.2,2015,menores de 1 ano,52,1,33,86,60.47
3.2,2015,menores de 5 anos,56,1,35,92,60.87
3.2,2016,de 1 a 4 anos,8,2,6,16,50.0
3.2,2016,menores de 1 ano,57,2,19,78,73.08
3.2,2016,menores de 5 anos,65,4,25,94,69.15
3.2,2017,de 1 a 4 anos,6,3,8,17,35.29
3.2,2017,menores de 1 ano,47,3,26,76,61.84
3.2,2017,menores de 5 anos,53,6,34,93,56.99
3.2,2018,de 1 a 4 anos,5,1,6,12,41.67
3.2,2018,menores de 1 ano,41,4,19,64,64.06
3.2,2018,menores de 5 anos,46,5,25,76,60.53
3.2,2019,de 1 a 4 anos,7,2,11,20,35.0
3.2,2019,menores de 1 ano,42,3,21,66,63.64
3.2,2019,menores de 5 anos,49,5,32,86,56.98
3.2,2020,de 1 a 4 anos,3,0,7,10,30.0
3.2,2020,menores de 1 ano,39,0,18,57,68.42
3.2,2020,menores de 5 anos,42,0,25,67,62.69
3.2,2021,de 1 a 4 anos,3,3,2,8,37.5
3.2,2021,menores de 1 ano,45,0,14,59,76.27
3.2,2021,menores de 5 anos,48,3,16,67,71.64
3.2,2022,de 1 a 4 anos,6,4,6,16,37.5
3.2,2022,menores de 1 ano,36,0,14,50,72.0
3.2,2022,menores de 5 anos,42,4,20,66,63.64
3.2,2023,de 1 a 4 anos,8,1,6,15,53.33
3.2,2023,menores de 1 ano,37,1,17,55,67.27
3.2,2023,menores de 5 anos,45,2,23,70,64.29
3.2,2024,de 1 a 4 anos,4,0,3,7,57.14
3.2,2024,menores de 1 ano,32,0,21,53,60.38
3.2,2024,menores de 5 anos,36,0,24,60,60.0
3.2,2025,de 1 a 4 anos,4,2,9,15,26.67
3.2,2025,menores de 1 ano,34,0,18,52,65.38
3.2,2025,menores de 5 anos,38,2,27,67,56.72
3.3,2006,de 1 a 4 anos,10,6,12,28,35.71
3.3,2006,menores de 1 ano,120,11,38,169,71.01
3.3,2006,menores de 5 anos,130,17,50,197,65.99
3.3,2007,de 1 a 4 anos,21,1,4,26,80.77
3.3,2007,menores de 1 ano,116,10,37,163,71.17
3.3,2007,menores de 5 anos,137,11,41,189,72.49
3.3,2008,de 1 a 4 anos,12,4,9,25,48.0
3.3,2008,menores de 1 ano,133,2,58,193,68.91
3.3,2008,menores de 5 anos,145,6,67,218,66.51
3.3,2009,de 1 a 4 anos,20,0,11,31,64.52
3.3,2009,menores de 1 ano,124,2,46,172,72.09
3.3,2009,menores de 5 anos,144,2,57,203,70.94
3.3,2010,de 1 a 4 anos,19,4,16,39,48.72
3.3,2010,menores de 1 ano,115,13,66,194,59.28
3.3,2010,menores de 5 anos,134,17,82,233,57.51
3.3,2011,de 1 a 4 anos,9,4,9,22,40.91
3.3,2011,menores de 1 ano,113,4,43,160,70.62
3.3,2011,menores de 5 anos,122,8,52,182,67.03
3.3,2012,de 1 a 4 anos,14,4,13,31,45.16
3.3,2012,menores de 1 ano,122,10,44,176,69.32
3.3,2012,menores de 5 anos,136,14,57,207,65.7
3.3,2013,de 1 a 4 anos,14,2,15,31,45.16
3.3,2013,menores de 1 ano,139,8,46,193,72.02
3.3,2013,menores de 5 anos,153,10,61,224,68.3
3.3,2014,de 1 a 4 anos,12,1,7,20,60.0
3.3,2014,menores de 1 ano,116,7,44,167,69.46
3.3,2014,menores de 5 anos,128,8,51,187,68.45
3.3,2015,de 1 a 4 anos,12,1,8,21,57.14
3.3,2015,menores de 1 ano,135,7,45,187,72.19
3.3,2015,menores de 5 anos,147,8,53,208,70.67
3.3,2016,de 1 a 4 anos,13,2,14,29,44.83
3.3,2016,menores de 1 ano,95,7,44,146,65.07
3.3,2016,menores de 5 anos,108,9,58,175,61.71
3.3,2017,de 1 a 4 anos,12,2,11,25,48.0
3.3,2017,menores de 1 ano,107,5,42,154,69.48
3.3,2017,menores de 5 anos,119,7,53,179,66.48
3.3,2018,de 1 a 4 anos,9,1,8,18,50.0
3.3,2018,menores de 1 ano,135,2,41,178,75.84
3.3,2018,menores de 5 anos,144,3,49,196,73.47
3.3,2019,de 1 a 4 anos,7,4,14,25,28.0
3.3,2019,menores de 1 ano,116,5,52,173,67.05
3.3,2019,menores de 5 anos,123,9,66,198,62.12
3.3,2020,de 1 a 4 anos,9,0,12,21,42.86
3.3,2020,menores de 1 ano,85,5,20,110,77.27
3.3,2020,menores de 5 anos,94,5,32,131,71.76
3.3,2021,de 1 a 4 anos,15,0,9,24,62.5
3.3,2021,menores de 1 ano,101,2,37,140,72.14
3.3,2021,menores de 5 anos,116,2,46,164,70.73
3.3,2022,de 1 a 4 anos,11,4,16,31,35.48
3.3,2022,menores de 1 ano,90,2,41,133,67.67
3.3,2022,menores de 5 anos,101,6,57,164,61.59
3.3,2023,de 1 a 4 anos,15,0,9,24,62.5
3.3,2023,menores de 1 ano,91,3,39,133,68.42
3.3,2023,menores de 5 anos,106,3,48,157,67.52
3.3,2024,de 1 a 4 anos,8,0,6,14,57.14
3.3,2024,menores de 1 ano,55,1,39,95,57.89
3.3,2024,menores de 5 anos,63,1,45,109,57.8
3.3,2025,de 1 a 4 anos,12,1,7,20,60.0
3.3,2025,menores de 1 ano,84,2,25,111,75.68
3.3,2025,menores de 5 anos,96,3,32,131,73.28
4.0,2006,de 1 a 4 anos,20,5,13,38,52.63
4.0,2006,menores de 1 ano,89,8,31,128,69.53
4.0,2006,menores de 5 anos,109,13,44,166,65.66
4.0,2007,de 1 a 4 anos,8,3,12,23,34.78
4.0,2007,menores de 1 ano,85,4,41,130,65.38
4.0,2007,menores de 5 anos,93,7,53,153,60.78
4.0,2008,de 1 a 4 anos,15,1,11,27,55.56
4.0,2008,menores de 1 ano,95,9,31,135,70.37
4.0,2008,menores de 5 anos,110,10,42,162,67.9
4.0,2009,de 1 a 4 anos,12,1,19,32,37.5
4.0,2009,menores de 1 ano,103,9,37,149,69.13
4.0,2009,menores de 5 anos,115,10,56,181,63.54
4.0,2010,de 1 a 4 anos,15,4,5,24,62.5
4.0,2010,menores de 1 ano,117,5,50,172,68.02
4.0,2010,menores de 5 anos,132,9,55,196,67.35
4.0,2011,de 1 a 4 anos,15,7,16,38,39.47
4.0,2011,menores de 1 ano,98,8,36,142,69.01
4.0,2011,menores de 5 anos,113,15,52,180,62.78
4.0,2012,de 1 a 4 anos,14,3,7,24,58.33
4.0,2012,menores de 1 ano,106,6,52,164,64.63
4.0,2012,menores de 5 anos,120,9,59,188,63.83
4.0,2013,de 1 a 4 anos,10,4,13,27,37.04
4.0,2013,menores de 1 ano,83,8,49,140,59.29
4.0,2013,menores de 5 anos,93,12,62,167,55.69
4.0,2014,de 1 a 4 anos,8,3,13,24,33.33
4.0,2014,menores de 1 ano,93,7,49,149,62.42
4.0,2014,menores de 5 anos,101,10,62,173,58.38
4.0,2015,de 1 a 4 anos,8,3,12,23,34.78
4.0,2015,menores de 1 ano,106,9,47,162,65.43
4.0,2015,menores de 5 anos,114,12,59,185,61.62
4.0,2016,de 1 a 4 anos,6,2,13,21,28.57
4.0,2016,menores de 1 ano,110,10,43,163,67.48
4.0,2016,menores de 5 anos,116,12,56,184,63.04
4.0,2017,de 1 a 4 anos,9,2,20,31,29.03
4.0,2017,menores de 1 ano,94,13,46,153,61.44
4.0,2017,menores de 5 anos,103,15,66,184,55.98
4.0,2018,de 1 a 4 anos,3,0,14,17,17.65
4.0,2018,menores de 1 ano,102,5,32,139,73.38
4.0,2018,menores de 5 anos,105,5,46,156,67.31
4.0,2019,de 1 a 4 anos,8,1,11,20,40.0
4.0,2019,menores de 1 ano,86,4,36,126,68.25
4.0,2019,menores de 5 anos,94,5,47,146,64.38
4.0,2020,de 1 a 4 anos,6,1,8,15,40.0
4.0,2020,menores de 1 ano,84,4,41,129,65.12
4.0,2020,menores de 5 anos,90,5,49,144,62.5
4.0,2021,de 1 a 4 anos,10,0,7,17,58.82
4.0,2021,menores de 1 ano,85,5,34,124,68.55
4.0,2021,menores de 5 anos,95,5,41,141,67.38
4.0,2022,de 1 a 4 anos,12,2,11,25,48.0
4.0,2022,menores de 1 ano,78,3,35,116,67.24
4.0,2022,menores de 5 anos,90,5,46,141,63.83
4.0,2023,de 1 a 4 anos,19,1,11,31,61.29
4.0,2023,menores de 1 ano,78,1,46,125,62.4
4.0,2023,menores de 5 anos,97,2,57,156,62.18
4.0,2024,de 1 a 4 anos,10,0,9,19,52.63
4.0,2024,menores de 1 ano,71,5,30,106,66.98
4.0,2024,menores de 5 anos,81,5,39,125,64.8
4.0,2025,de 1 a 4 anos,7,2,9,18,38.89
4.0,2025,menores de 1 ano,89,4,39,132,67.42
4.0,2025,menores de 5 anos,96,6,48,150,64.0
5.1,2006,de 1 a 4 anos,7,5,10,22,31.82
5.1,2006,menores de 1 ano,110,8,38,156,70.51
5.1,2006,menores de 5 anos,117,13,48,178,65.73
5.1,2007,de 1 a 4 anos,8,1,13,22,36.36
5.1,2007,menores de 1 ano,81,3,39,123,65.85
5.1,2007,menores de 5 anos,89,4,52,145,61.38
5.1,2008,de 1 a 4 anos,3,0,11,14,21.43
5.1,2008,menores de 1 ano,89,3,30,122,72.95
5.1,2008,menores de 5 anos,92,3,41,136,67.65
5.1,2009,de 1 a 4 anos,7,1,12,20,35.0
5.1,2009,menores de 1 ano,109,1,31,141,77.3
5.1,2009,menores de 5 anos,116,2,43,161,72.05
5.1,2010,de 1 a 4 anos,9,1,13,23,39.13
5.1,2010,menores de 1 ano,90,1,41,132,68.18
5.1,2010,menores de 5 anos,99,2,54,155,63.87
5.1,2011,de 1 a 4 anos,6,0,8,14,42.86
5.1,2011,menores de 1 ano,99,4,47,150,66.0
5.1,2011,menores de 5 anos,105,4,55,164,64.02
5.1,2012,de 1 a 4 anos,5,1,6,12,41.67
5.1,2012,menores de 1 ano,123,0,41,164,75.0
5.1,2012,menores de 5 anos,128,1,47,176,72.73
5.1,2013,de 1 a 4 anos,9,1,10,20,45.0
5.1,2013,menores de 1 ano,104,2,31,137,75.91
5.1,2013,menores de 5 anos,113,3,41,157,71.97
5.1,2014,de 1 a 4 anos,11,1,6,18,61.11
5.1,2014,menores de 1 ano,73,1,38,112,65.18
5.1,2014,menores de 5 anos,84,2,44,130,64.62
5.1,2015,de 1 a 4 anos,9,1,4,14,64.29
5.1,2015,menores de 1 ano,95,2,32,129,73.64
5.1,2015,menores de 5 anos,104,3,36,143,72.73
5.1,2016,de 1 a 4 anos,13,2,11,26,50.0
5.1,2016,menores de 1 ano,76,2,37,115,66.09
5.1,2016,menores de 5 anos,89,4,48,141,63.12
5.1,2017,de 1 a 4 anos,9,0,6,15,60.0
5.1,2017,menores de 1 ano,67,1,29,97,69.07
5.1,2017,menores de 5 anos,76,1,35,112,67.86
5.1,2018,de 1 a 4 anos,11,1,8,20,55.0
5.1,2018,menores de 1 ano,60,2,34,96,62.5
5.1,2018,menores de 5 anos,71,3,42,116,61.21
5.1,2019,de 1 a 4 anos,8,0,7,15,53.33
5.1,2019,menores de 1 ano,75,0,24,99,75.76
5.1,2019,menores de 5 anos,83,0,31,114,72.81
5.1,2020,de 1 a 4 anos,9,1,7,17,52.94
5.1,2020,menores de 1 ano,70,6,33,109,64.22
5.1,2020,menores de 5 anos,79,7,40,126,62.7
5.1,2021,de 1 a 4 anos,3,2,10,15,20.0
5.1,2021,menores de 1 ano,66,4,31,101,65.35
5.1,2021,menores de 5 anos,69,6,41,116,59.48
5.1,2022,de 1 a 4 anos,5,1,7,13,38.46
5.1,2022,menores de 1 ano,43,1,17,61,70.49
5.1,2022,menores de 5 anos,48,2,24,74,64.86
5.1,2023,de 1 a 4 anos,11,1,11,23,47.83
5.1,2023,menores de 1 ano,56,1,15,72,77.78
5.1,2023,menores de 5 anos,67,2,26,95,70.53
5.1,2024,de 1 a 4 anos,10,0,6,16,62.5
5.1,2024,menores de 1 ano,55,0,25,80,68.75
5.1,2024,menores de 5 anos,65,0,31,96,67.71
5.1,2025,de 1 a 4 anos,9,1,6,16,56.25
5.1,2025,menores de 1 ano,48,1,23,72,66.67
5.1,2025,menores de 5 anos,57,2,29,88,64.77
5.2,2006,de 1 a 4 anos,8,5,11,24,33.33
5.2,2006,menores de 1 ano,96,8,43,147,65.31
5.2,2006,menores de 5 anos,104,13,54,171,60.82
