codigo,bairro,ano,obitos_amarela,obitos_branca,obitos_indigena,obitos_parda,obitos_preta,obitos_nao_informado,nascidos_amarela,nascidos_branca,nascidos_indigena,nascidos_parda,nascidos_preta,nascidos_nao_informado,percentual_amarela,percentual_branca,percentual_indigena,percentual_parda,percentual_preta,percentual_nao_informado
165,BARRA OLIMPICA,2007,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
112,BARROS FILHO,2007,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
012,BENFICA,2007,0.0,5.0,0.0,3.0,0.0,2.0,,,,,,,,,,,,
089,BENTO RIBEIRO,2007,0.0,3.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,
040,BONSUCESSO,2007,0.0,8.0,0.0,10.0,2.0,7.0,,,,,,,,,,,,
020,BOTAFOGO,2007,0.0,2.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,
045,BRAS DE PINA,2007,0.0,3.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,
065,CACHAMBI,2007,0.0,6.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,
093,CACUIA,2007,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
004,CAJU,2007,0.0,2.0,0.0,3.0,0.0,2.0,,,,,,,,,,,,
129,CAMORIM,2007,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
078,CAMPINHO,2007,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,
136,CAMPO DOS AFONSOS,2007,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
144,CAMPO GRANDE,2007,0.0,36.0,0.0,32.0,5.0,9.0,,,,,,,,,,,,
082,CASCADURA,2007,0.0,5.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,
018,CATETE,2007,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
006,CATUMBI,2007,0.0,2.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
080,CAVALCANTE,2007,0.0,1.0,0.0,2.0,1.0,1.0,,,,,,,,,,,,
005,CENTRO,2007,0.0,6.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,
118,CIDADE DE DEUS,2007,0.0,4.0,0.0,10.0,0.0,2.0,,,,,,,,,,,,
008,CIDADE NOVA,2007,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,
105,CIDADE UNIVERSITARIA,2007,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
