ANO;IMUNO;COBERTURA;
2023;TRÍPLICE VIRAL D1;96,74%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2024;TRÍPLICE VIRAL D1;94,79%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2025;TRÍPLICE VIRAL D1;102,29%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2026;TRÍPLICE VIRAL D1;89,11%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2016;TRÍPLICE VIRAL D2;79,36%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2017;TRÍPLICE VIRAL D2;80,11%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2018;TRÍPLICE VIRAL D2;76,06%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2019;TRÍPLICE VIRAL D2;81,28%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2020;TRÍPLICE VIRAL D2;53,98%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2021;TRÍPLICE VIRAL D2;54,19%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2022;TRÍPLICE VIRAL D2;70,68%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2023;TRÍPLICE VIRAL D2;66,74%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2024;TRÍPLICE VIRAL D2;80,44%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2025;TRÍPLICE VIRAL D2;85,74%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2026;TRÍPLICE VIRAL D2;74,68%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2016;VARICELA;79,36%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2017;VARICELA;89,72%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2018;VARICELA;79,06%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2019;VARICELA;83,50%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2020;VARICELA;93,78%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2021;VARICELA;95,14%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2022;VARICELA;76,50%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2023;VARICELA;90,19%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2024;VARICELA;81,50%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2025;VARICELA;87,42%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2026;VARICELA;78,63%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
FONTE;;;
https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/;;;
