ano,idade,sexo,populacao,data_consulta
2013,5,feminino,38965,2026-09-24
2013,6,feminino,39189,2026-09-24
2013,0,masculino,41975,2026-09-24
2013,1,masculino,41682,2026-09-24
2013,2,masculino,40970,2026-09-24
2013,3,masculino,40534,2026-09-24
2013,4,masculino,40696,2026-09-24
2013,5,masculino,40772,2026-09-24
2013,6,masculino,40970,2026-09-24
2013,total,total,6672458,2026-09-24
2014,0,feminino,40809,2026-09-24
2014,1,feminino,39937,2026-09-24
2014,2,feminino,39687,2026-09-24
2014,3,feminino,39016,2026-09-24
2014,4,feminino,38642,2026-09-24
2014,5,feminino,38846,2026-09-24
2014,6,feminino,38936,2026-09-24
2014,0,masculino,42831,2026-09-24
2014,1,masculino,41895,2026-09-24
2014,2,masculino,41631,2026-09-24
2014,3,masculino,40943,2026-09-24
2014,4,masculino,40528,2026-09-24
2014,5,masculino,40686,2026-09-24
2014,6,masculino,40741,2026-09-24
2014,total,total,6699175,2026-09-24
2015,0,feminino,41911,2026-09-24
2015,1,feminino,40770,2026-09-24
2015,2,feminino,39920,2026-09-24
2015,3,feminino,39701,2026-09-24
2015,4,feminino,39023,2026-09-24
2015,5,feminino,38638,2026-09-24
2015,6,feminino,38815,2026-09-24
2015,0,masculino,43979,2026-09-24
2015,1,masculino,42769,2026-09-24
2015,2,masculino,41861,2026-09-24
2015,3,masculino,41635,2026-09-24
2015,4,masculino,40952,2026-09-24
2015,5,masculino,40522,2026-09-24
2015,6,masculino,40657,2026-09-24
2015,total,total,6724719,2026-09-24
2016,0,feminino,40454,2026-09-24
2016,1,feminino,41875,2026-09-24
2016,2,feminino,40766,2026-09-24
2016,3,feminino,39934,2026-09-24
2016,4,feminino,39707,2026-09-24
2016,5,feminino,39007,2026-09-24
2016,6,feminino,38601,2026-09-24
2016,0,masculino,42452,2026-09-24
2016,1,masculino,43915,2026-09-24
2016,2,masculino,42749,2026-09-24
2016,3,masculino,41870,2026-09-24
2016,4,masculino,41648,2026-09-24
2016,5,masculino,40936,2026-09-24
2016,6,masculino,40485,2026-09-24
2016,total,total,6743995,2026-09-24
2017,0,feminino,38879,2026-09-24
2017,1,feminino,40396,2026-09-24
2017,2,feminino,41857,2026-09-24
2017,3,feminino,40754,2026-09-24
2017,4,feminino,39901,2026-09-24
2017,5,feminino,39653,2026-09-24
2017,6,feminino,38930,2026-09-24
2017,0,masculino,40784,2026-09-24
2017,1,masculino,42361,2026-09-24
2017,2,masculino,43880,2026-09-24
2017,3,masculino,42731,2026-09-24
2017,4,masculino,41850,2026-09-24
2017,5,masculino,41599,2026-09-24
2017,6,masculino,40852,2026-09-24
2017,total,total,6756761,2026-09-24
2018,0,feminino,38788,2026-09-24
2018,1,feminino,38783,2026-09-24
2018,2,feminino,40332,2026-09-24
2018,3,feminino,41787,2026-09-24
2018,4,feminino,40655,2026-09-24
2018,5,feminino,39777,2026-09-24
2018,6,feminino,39503,2026-09-24
2018,0,masculino,40611,2026-09-24
2018,1,masculino,40658,2026-09-24
2018,2,masculino,42280,2026-09-24
2018,3,masculino,43821,2026-09-24
2018,4,masculino,42649,2026-09-24
2018,5,masculino,41727,2026-09-24
2018,6,masculino,41425,2026-09-24
2018,total,total,6765565,2026-09-24
2019,0,feminino,37381,2026-09-24
2019,1,feminino,38718,2026-09-24
2019,2,feminino,38728,2026-09-24
2019,3,feminino,40256,2026-09-24
2019,4,feminino,41676,2026-09-24
2019,5,feminino,40495,2026-09-24
2019,6,feminino,39589,2026-09-24
2019,0,masculino,39019,2026-09-24
2019,1,masculino,40530,2026-09-24
2019,2,masculino,40599,2026-09-24
2019,3,masculino,42214,2026-09-24
2019,4,masculino,43708,2026-09-24
2019,5,masculino,42481,2026-09-24
2019,6,masculino,41510,2026-09-24
2019,total,total,6772146,2026-09-24
2020,0,feminino,35338,2026-09-24
2020,1,feminino,37372,2026-09-24
2020,2,feminino,38706,2026-09-24
2020,3,feminino,38684,2026-09-24
2020,4,feminino,40152,2026-09-24
2020,5,feminino,41521,2026-09-24
2020,6,feminino,40301,2026-09-24
2020,0,masculino,36806,2026-09-24
2020,1,masculino,39031,2026-09-24
2020,2,masculino,40529,2026-09-24
2020,3,masculino,40540,2026-09-24
2020,4,masculino,42110,2026-09-24
2020,5,masculino,43533,2026-09-24
2020,6,masculino,42262,2026-09-24
2020,total,total,6770926,2026-09-24
2021,0,feminino,33514,2026-09-24
2021,1,feminino,35390,2026-09-24
2021,2,feminino,37389,2026-09-24
2021,3,feminino,38659,2026-09-24
2021,4,feminino,38583,2026-09-24
2021,5,feminino,40001,2026-09-24
2021,6,feminino,41338,2026-09-24
2021,0,masculino,34827,2026-09-24
2021,1,masculino,36924,2026-09-24
2021,2,masculino,39088,2026-09-24
2021,3,masculino,40508,2026-09-24
2021,4,masculino,40448,2026-09-24
2021,5,masculino,41949,2026-09-24
2021,6,masculino,43330,2026-09-24
2021,total,total,6757411,2026-09-24
2022,0,feminino,31753,2026-09-24
2022,1,feminino,33589,2026-09-24
2022,2,feminino,35414,2026-09-24
2022,3,feminino,37359,2026-09-24
2022,4,feminino,38569,2026-09-24
2022,5,feminino,38449,2026-09-24
2022,6,feminino,39859,2026-09-24
2022,0,masculino,32948,2026-09-24
2022,1,masculino,35015,2026-09-24
2022,2,masculino,37010,2026-09-24
2022,3,masculino,39085,2026-09-24
2022,4,masculino,40421,2026-09-24
2022,5,masculino,40295,2026-09-24
2022,6,masculino,41766,2026-09-24
2022,total,total,6742618,2026-09-24
2023,0,feminino,30639,2026-09-24
