Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
074 VILA DA PENHA;5;4;4;5;6;4;4;4;1;0;0;0;0;3;1;4;2;2;0;0;49
075 VISTA ALEGRE;2;5;2;0;0;0;3;3;5;1;3;1;1;0;1;1;1;1;1;0;31
076 IRAJA;17;24;18;8;24;16;16;17;14;18;11;10;10;16;2;11;11;10;7;9;269
077 COLEGIO;8;5;7;5;6;5;4;5;9;2;4;5;8;5;6;5;9;8;4;6;116
078 CAMPINHO;3;3;3;0;3;1;0;0;2;1;1;0;4;3;0;1;3;2;4;2;36
079 QUINTINO BOCAIUVA;6;3;5;4;4;4;6;2;3;2;5;2;7;3;3;5;4;2;3;1;74
080 CAVALCANTE;2;5;6;4;4;2;1;4;0;2;4;4;4;6;4;2;4;4;2;2;66
081 ENGENHEIRO LEAL;0;0;0;1;1;2;0;1;1;0;3;1;1;0;1;1;2;1;2;1;19
082 CASCADURA;6;8;6;4;13;2;2;6;2;5;10;4;10;5;3;3;5;6;3;4;107
083 MADUREIRA;13;10;13;11;7;11;11;12;9;13;8;7;7;6;3;10;5;8;10;5;179
084 VAZ LOBO;6;0;2;0;3;2;2;3;5;0;4;2;3;6;5;5;2;2;3;3;58
085 TURIACU;0;1;4;3;4;0;6;2;3;3;1;5;3;7;3;0;3;5;1;1;55
086 ROCHA MIRANDA;5;5;5;16;6;6;6;8;9;7;7;4;9;7;5;2;8;7;2;5;129
087 HONORIO GURGEL;8;2;3;9;9;3;3;1;4;4;2;6;5;6;3;2;6;6;4;6;92
088 OSWALDO CRUZ;6;6;5;7;4;5;2;4;3;3;1;5;4;4;1;3;3;9;4;2;81
089 BENTO RIBEIRO;9;5;10;4;3;6;11;9;9;9;8;7;5;2;3;9;4;4;1;5;123
090 MARECHAL HERMES;3;6;10;4;6;7;8;10;5;7;8;13;8;11;7;5;5;6;1;7;137
091 RIBEIRA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;4
092 ZUMBI;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
093 CACUIA;1;2;0;3;0;2;3;3;3;2;2;0;6;5;2;1;4;2;1;0;42
094 PITANGUEIRAS;0;3;0;2;2;1;0;0;1;1;1;0;4;2;2;1;2;1;2;2;27
095 PRAIA DA BANDEIRA;0;0;1;1;0;0;0;1;0;0;1;2;0;1;1;0;0;0;0;0;8
096 COCOTA;1;2;2;1;0;1;2;0;1;1;0;0;0;2;0;1;0;0;0;0;14
097 BANCARIOS;1;3;2;1;2;3;2;2;1;2;1;2;0;0;3;2;2;4;1;1;35
098 FREGUESIA-ILHA;3;4;2;3;1;2;5;2;2;2;2;0;2;1;2;4;2;1;4;2;46
099 JARDIM GUANABARA;2;2;4;3;3;4;1;0;2;4;0;2;3;1;2;4;3;1;1;0;42
100 JARDIM CARIOCA;5;2;4;1;5;2;6;2;4;1;11;3;1;3;2;4;3;1;2;3;65
101 TAUA;1;2;4;5;1;5;6;5;5;4;7;3;5;8;5;1;5;2;5;2;81
102 MONERO;0;1;1;2;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;7
103 PORTUGUESA;4;2;2;0;2;1;2;6;2;3;0;2;2;2;0;0;0;1;1;2;34
104 GALEAO;4;0;3;6;5;2;2;7;8;3;5;1;5;8;4;3;1;9;4;1;81
105 CIDADE UNIVERSITARIA;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;4
106 GUADALUPE;11;11;18;10;10;2;10;10;7;9;4;4;10;7;7;5;2;5;5;5;152
107 ANCHIETA;7;13;14;14;18;17;23;21;15;9;10;10;11;13;14;15;7;9;10;7;257
108 PARQUE ANCHIETA;3;2;0;3;3;4;1;4;1;7;3;3;3;0;3;2;1;1;2;2;48
109 RICARDO ALBUQUERQUE;3;6;3;3;5;6;5;7;7;3;5;6;6;9;2;5;3;4;5;2;95
110 COELHO NETO;4;2;4;4;3;8;8;4;7;7;5;5;7;8;4;2;4;0;1;0;87
111 ACARI;7;2;11;8;14;5;7;9;7;19;8;13;13;7;6;8;9;5;5;6;169
112 BARROS FILHO;5;1;3;5;3;3;2;3;4;9;3;3;1;2;2;3;6;3;1;2;64
113 COSTA BARROS;7;16;14;16;9;14;16;14;13;14;13;9;7;9;3;8;9;5;5;7;208
114 PAVUNA;18;13;14;18;20;19;13;17;16;26;9;18;23;16;14;17;11;19;7;20;328
115 JACAREPAGUA;35;35;22;30;23;25;35;33;26;35;42;33;44;31;28;29;24;19;22;32;603
116 ANIL;9;7;6;7;4;4;10;4;7;4;2;3;4;3;3;6;1;0;2;7;93
117 GARDENIA AZUL;3;5;9;6;13;12;8;8;5;3;3;4;3;6;6;4;5;7;3;4;117
118 CIDADE DE DEUS;7;16;17;12;21;13;15;8;19;15;9;12;10;7;9;8;9;3;8;6;224
119 CURICICA;7;6;14;12;12;6;18;8;8;6;8;10;6;6;10;6;3;3;2;5;156
120 FREGUESIA-JPA;4;1;7;6;10;9;7;10;8;14;12;7;3;7;8;4;5;5;4;4;135
121 PECHINCHA;3;2;2;4;3;5;4;5;3;5;3;2;1;2;3;3;5;2;6;3;66
122 TAQUARA;19;14;10;16;29;12;22;12;16;23;21;20;11;10;13;16;17;21;12;14;328
123 TANQUE;8;3;8;4;9;7;8;6;7;1;11;7;5;0;5;3;4;3;3;5;107
124 PRACA SECA;5;5;9;19;12;6;8;5;10;12;11;10;12;11;5;9;9;9;6;10;183
125 VILA VALQUEIRE;2;4;8;3;3;2;5;8;5;2;6;1;1;2;3;1;2;2;4;2;66
126 JOA;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
127 ITANHANGA;1;8;4;6;7;4;7;7;12;12;16;11;12;11;10;13;10;14;4;11;180
128 BARRA DA TIJUCA;11;11;6;12;6;16;5;11;10;10;5;8;11;9;6;14;1;8;8;6;174
129 CAMORIM;0;1;1;1;1;1;1;0;2;1;0;0;0;0;1;1;0;0;0;1;12
130 VARGEM PEQUENA;2;2;2;0;7;6;5;7;3;4;3;3;2;5;7;0;4;5;3;7;77
131 VARGEM GRANDE;3;3;0;2;2;2;3;2;1;3;2;6;2;6;5;2;4;6;4;3;61
132 RECREIO BANDEIRANTES;9;7;10;9;10;12;3;6;7;12;9;16;12;10;7;5;13;15;15;9;196
134 DEODORO;4;7;2;1;3;5;6;0;4;4;4;0;1;1;0;0;0;1;2;2;47
135 VILA MILITAR;0;0;0;0;0;0;1;2;0;3;1;1;3;1;1;2;1;2;0;3;21
136 CAMPO DOS AFONSOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;4
137 JARDIM SULACAP;4;4;2;0;3;5;1;2;2;1;1;0;0;0;0;1;1;0;0;1;28
138 MAGALHAES BASTOS;5;6;2;4;9;8;7;5;2;3;5;2;5;1;7;3;5;0;6;6;91
139 REALENGO;43;34;40;35;28;36;35;41;33;33;29;21;28;32;23;23;13;19;21;17;584
140 PADRE MIGUEL;23;14;8;11;8;16;16;7;8;6;10;10;13;12;2;9;4;4;11;10;202
141 BANGU;56;48;42;73;59;46;71;49;44;46;46;39;28;28;42;36;27;24;21;20;845
142 SENADOR CAMARA;21;10;26;17;22;34;27;31;19;33;19;24;14;19;29;23;8;18;14;8;416
143 SANTISSIMO;14;10;10;16;7;10;7;8;9;10;7;4;12;12;9;4;8;4;6;8;175
144 CAMPO GRANDE;92;82;76;64;65;72;65;60;56;61;60;47;56;50;48;45;41;42;25;40;1147
145 SENADOR VASCONCELOS;2;5;2;0;4;5;5;6;3;3;4;11;2;5;11;3;4;2;2;8;87
146 INHOAIBA;5;10;8;10;10;10;7;14;10;10;15;15;9;15;23;11;7;12;10;7;218
147 COSMOS;12;6;16;14;14;11;12;7;17;8;12;21;14;9;14;26;15;12;11;21;272
148 PACIENCIA;25;22;20;28;20;27;20;21;25;24;30;21;20;29;20;25;13;15;18;14;437
149 SANTA CRUZ;48;57;61;74;54;54;69;77;71;74;83;45;69;54;57;54;51;46;43;53;1194
150 SEPETIBA;16;17;12;8;10;14;16;12;15;15;21;6;6;12;18;8;13;9;11;9;248
151 GUARATIBA;9;18;21;17;17;18;22;25;26;16;29;24;29;29;29;21;36;22;27;13;448
152 BARRA DE GUARATIBA;2;0;3;1;1;2;0;0;1;1;0;2;2;0;0;0;0;1;3;2;21
153 PEDRA DE GUARATIBA;11;5;6;3;9;10;5;3;8;6;2;5;0;4;4;3;3;1;4;1;93
154 ROCINHA;23;12;20;17;14;16;15;22;21;3;17;11;12;8;7;15;10;12;7;9;271
155 JACAREZINHO;6;7;6;7;4;4;4;6;1;8;6;11;4;6;4;2;3;6;7;4;106
156 COMPLEXO DO ALEMAO;5;3;6;11;1;7;6;13;16;16;19;12;5;6;10;4;16;9;11;6;182
157 COMPLEXO DA MARE;13;16;23;25;15;24;21;32;26;33;39;26;25;21;23;20;29;33;25;15;484
158 PARQUE COLUMBIA;0;0;0;0;0;0;0;1;0;2;3;2;1;0;1;1;1;3;1;3;19
159 VASCO DA GAMA;0;0;0;0;0;0;0;0;0;3;2;4;3;3;4;2;4;2;3;0;30
160 GERICINo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2
161 LAPA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;3;1;0;7
162 VILA KENNEDY;0;0;0;0;0;0;0;0;0;0;0;0;4;5;5;3;1;5;5;4;32
164 ILHA DE GUARATIBA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2
165 BARRA OLIMPICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;7
998 ILHA DO GOVERNADOR - IGNORADO;1;4;3;2;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17
999 IGNORADO BAIRRO-MRJ;3;15;5;8;5;3;6;2;2;2;2;5;2;2;2;4;0;4;1;0;73
EM BRANCO;385;351;375;383;360;349;373;313;321;310;321;295;281;262;246;217;167;153;129;134;5725
Total;1482;1437;1486;1528;1442;1420;1469;1422;1338;1407;1381;1245;1246;1193;1128;1056;972;971;880;907;25410
