Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
089 BENTO RIBEIRO;6;2;3;0;2;3;7;5;3;3;3;3;2;0;1;4;1;2;1;2;53
090 MARECHAL HERMES;1;5;4;1;3;5;3;9;2;3;3;3;3;3;4;0;1;4;1;4;62
091 RIBEIRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
093 CACUIA;0;1;0;0;0;1;3;1;2;1;2;0;2;1;1;0;3;1;0;0;19
094 PITANGUEIRAS;0;0;0;1;0;1;0;0;0;0;1;0;2;1;2;1;0;0;1;2;12
095 PRAIA DA BANDEIRA;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
096 COCOTA;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
097 BANCARIOS;0;1;0;1;1;2;2;1;0;1;0;0;0;0;0;1;0;1;1;1;13
098 FREGUESIA-ILHA;1;2;1;1;1;1;0;1;1;1;1;0;1;1;2;1;0;1;3;1;21
099 JARDIM GUANABARA;0;1;0;0;2;1;0;0;0;2;0;0;0;0;0;2;1;0;0;0;9
100 JARDIM CARIOCA;1;0;3;1;4;0;3;1;3;1;3;0;0;1;1;1;0;1;1;1;26
101 TAUA;0;2;0;1;0;0;1;2;2;2;2;2;3;3;3;0;0;1;2;1;27
103 PORTUGUESA;2;1;0;0;2;0;1;2;1;0;0;0;1;1;0;0;0;0;1;1;13
104 GALEAO;1;0;0;0;1;1;1;3;3;3;0;1;3;2;1;2;0;1;0;0;23
106 GUADALUPE;5;4;8;4;6;1;7;6;4;6;4;3;3;3;5;1;1;3;4;2;80
107 ANCHIETA;1;6;3;2;4;5;9;12;6;5;7;5;7;5;9;7;3;6;5;6;113
108 PARQUE ANCHIETA;2;2;0;1;2;3;1;3;1;3;2;2;2;0;1;0;0;1;0;1;27
109 RICARDO ALBUQUERQUE;1;3;1;2;2;2;2;5;2;2;2;4;2;6;1;3;1;1;2;1;45
110 COELHO NETO;2;2;2;2;0;4;3;1;2;2;3;2;3;4;2;2;1;0;1;0;38
111 ACARI;3;2;6;3;9;4;2;6;5;11;2;7;8;2;5;6;6;4;3;2;96
112 BARROS FILHO;1;1;1;3;2;1;2;2;4;5;3;2;0;0;2;2;3;0;1;0;35
113 COSTA BARROS;4;5;4;11;4;10;7;5;9;12;7;5;4;5;3;4;4;1;1;4;109
114 PAVUNA;6;6;6;7;6;6;7;7;10;16;5;12;16;9;10;14;4;11;4;15;177
115 JACAREPAGUA;10;12;5;6;12;11;11;13;11;14;18;12;16;11;7;16;9;8;5;16;223
116 ANIL;4;2;3;3;2;2;3;1;6;1;1;1;0;1;3;1;1;0;1;3;39
117 GARDENIA AZUL;1;2;0;2;6;5;2;4;2;0;2;3;1;1;5;3;3;4;0;3;49
118 CIDADE DE DEUS;2;10;10;10;8;5;8;6;14;6;6;8;5;3;5;6;6;2;5;2;127
119 CURICICA;2;1;7;8;6;5;6;2;3;3;3;3;3;2;3;3;2;0;2;4;68
120 FREGUESIA-JPA;2;1;1;2;2;2;2;5;5;1;3;1;1;1;3;2;1;1;1;3;40
121 PECHINCHA;1;1;0;1;1;1;1;2;0;1;1;0;0;1;1;2;1;1;1;0;17
122 TAQUARA;5;4;1;6;9;1;7;6;7;5;6;10;5;6;4;8;7;10;8;8;123
123 TANQUE;0;1;4;2;6;3;4;3;3;0;3;3;3;0;3;2;3;2;1;2;48
124 PRACA SECA;0;1;5;5;5;1;2;1;5;7;4;2;5;6;1;5;5;2;2;5;69
125 VILA VALQUEIRE;2;1;5;1;0;0;2;1;1;1;3;0;0;0;2;0;1;2;0;1;23
127 ITANHANGA;0;1;1;3;4;2;2;1;5;6;4;6;4;5;3;3;3;5;0;4;62
128 BARRA DA TIJUCA;1;0;1;2;0;2;0;2;0;2;0;0;3;0;1;2;0;3;3;0;22
129 CAMORIM;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;4
130 VARGEM PEQUENA;0;1;2;0;4;3;2;7;1;2;1;3;1;2;2;0;2;2;1;3;39
131 VARGEM GRANDE;2;1;0;0;0;1;1;2;1;2;1;3;0;2;1;2;3;1;2;0;25
132 RECREIO BANDEIRANTES;2;2;4;3;1;4;2;0;1;1;5;3;5;2;0;1;8;8;3;2;57
134 DEODORO;4;3;0;0;2;2;3;0;4;2;3;0;1;0;0;0;0;1;1;2;28
135 VILA MILITAR;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;1;1;0;1;7
137 JARDIM SULACAP;0;0;0;0;1;3;1;1;1;1;1;0;0;0;0;0;1;0;0;0;10
138 MAGALHAES BASTOS;1;1;0;1;4;4;4;4;0;1;2;0;4;1;2;2;4;0;6;1;42
139 REALENGO;16;9;20;14;13;14;17;23;19;15;14;11;12;18;13;12;7;15;10;13;285
140 PADRE MIGUEL;10;6;2;4;5;5;10;4;7;2;6;5;9;6;1;5;2;2;4;7;102
141 BANGU;19;17;13;34;33;24;40;30;26;27;25;24;13;16;25;20;13;17;13;12;441
142 SENADOR CAMARA;3;7;12;3;9;15;18;15;11;17;11;17;8;10;16;13;6;11;8;5;215
143 SANTISSIMO;6;4;5;6;3;4;1;3;5;5;1;2;6;5;4;2;5;1;4;8;80
144 CAMPO GRANDE;36;32;26;29;26;35;27;40;22;31;27;25;31;22;25;27;21;25;17;21;545
145 SENADOR VASCONCELOS;1;1;2;0;3;3;4;3;0;2;3;7;0;1;6;1;2;1;0;5;45
146 INHOAIBA;2;4;1;6;7;3;2;9;8;5;10;11;6;8;9;8;5;9;6;3;122
147 COSMOS;6;4;6;9;6;7;4;2;11;7;8;14;10;7;10;20;8;9;5;16;169
148 PACIENCIA;12;13;10;11;10;15;11;13;9;16;26;13;12;15;13;20;11;10;9;8;257
149 SANTA CRUZ;22;32;34;37;29;22;31;44;42;51;50;25;55;40;42;35;32;31;31;36;721
150 SEPETIBA;10;9;7;2;5;7;7;9;8;9;8;5;5;7;11;5;8;5;5;5;137
151 GUARATIBA;4;9;10;9;9;4;8;13;14;8;20;14;19;19;18;15;25;13;14;7;252
152 BARRA DE GUARATIBA;0;0;1;0;0;1;0;0;1;1;0;1;2;0;0;0;0;0;1;1;9
153 PEDRA DE GUARATIBA;2;2;2;0;4;5;2;2;2;1;2;2;0;3;2;3;1;1;2;0;38
154 ROCINHA;9;4;10;6;5;2;2;10;7;1;7;6;1;3;2;4;3;4;4;4;94
155 JACAREZINHO;2;3;3;3;1;2;2;3;1;5;3;6;2;5;2;1;0;4;3;2;53
156 COMPLEXO DO ALEMAO;0;2;4;7;1;3;3;5;8;10;12;6;2;2;3;2;5;6;3;5;89
157 COMPLEXO DA MARE;3;9;10;12;10;12;9;10;11;9;12;13;13;10;12;9;15;16;13;9;217
158 PARQUE COLUMBIA;0;0;0;0;0;0;0;1;0;1;2;2;0;0;1;1;0;1;1;2;12
159 VASCO DA GAMA;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;0;1;1;1;0;8
160 GERICINo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
161 LAPA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;3
162 VILA KENNEDY;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;2;1;3;4;4;22
164 ILHA DE GUARATIBA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
998 ILHA DO GOVERNADOR - IGNORADO;0;2;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
999 IGNORADO BAIRRO-MRJ;1;8;2;4;2;2;4;1;1;1;0;3;1;1;1;1;0;3;0;0;36
EM BRANCO;137;131;141;157;162;134;150;128;137;134;142;137;129;113;98;105;73;68;50;67;2393
Total;510;556;590;613;639;590;619;663;622;663;644;586;601;540;532;545;448;493;410;463;11327
