Causas evitáveis;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
.. Transt respir cardiovasc específ períod neonat;226;197;111;107;95;80;56;56;28;16;19;14;15;21;18;14;9;7;14;20;17;13;15;10;12;13;16;10;8;5;1242
.. Infecç per neonatal exc SRC e hepat viral cong;123;116;97;91;65;79;80;87;78;75;57;41;48;50;43;30;43;56;56;56;53;31;39;38;36;32;30;29;13;18;1690
.. Hemorragia neonatal exc intracraniana ñ traumát;3;10;3;7;8;3;-;-;-;1;1;-;1;1;-;-;-;2;-;1;-;-;-;3;2;1;-;1;-;1;49
.. Outras icterícias neonatais;1;2;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;8
.. Transt endócr metab transit esp feto recém-nasc;7;8;1;4;3;6;2;4;4;2;3;5;-;3;-;1;1;1;3;2;3;-;1;2;1;5;5;-;3;4;84
.. Outr transt hemotológicos feto e recém-nascido;4;4;3;6;1;4;4;4;1;3;4;2;2;5;2;7;4;5;1;2;6;3;4;1;5;5;3;1;4;2;102
.. Transt ap digest feto recém-nasc exc enter necr;1;1;1;3;-;-;-;-;1;1;1;-;-;-;1;1;1;-;-;2;2;1;1;-;1;1;-;2;1;-;23
.. Afecç compromet tegument regul térmica feto rn;4;5;1;3;3;2;10;3;-;5;4;2;5;2;3;2;1;-;3;5;5;-;2;5;2;3;3;4;1;3;91
.. Outr transt orig período perinatal, exc P96.9;1;-;19;12;21;12;6;11;11;12;28;12;14;13;14;10;8;15;8;8;13;10;8;4;3;7;2;3;-;3;288
1.3. Reduz ações diagnóstico e tratamento adequado;4;3;2;4;1;2;1;-;1;-;3;1;-;-;-;1;2;-;1;-;-;2;1;1;-;-;2;1;-;-;33
.. Meningite (exceto por Haemophilus);1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
.. Pneumonia;2;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
.. Outras infecções agudas vias aéreas inferiores;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
.. Síndrome de Down;1;3;1;4;-;2;1;-;1;-;-;-;-;-;-;1;2;-;-;-;-;2;1;1;-;-;2;1;-;-;23
1.4. Reduz. ações promoção vinc. ações de atenção;7;7;6;3;2;1;2;1;-;3;1;1;-;1;2;-;3;-;-;-;-;2;-;-;1;1;1;1;-;-;46
.. Doenças infecciosas intestinais;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
.. Síndrome da morte súbita na infância;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
.. Quedas;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
.. Afogamento e submersão acidentais;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
.. Outros riscos acidentais à respiração;4;6;5;2;2;-;1;-;-;3;-;1;-;1;2;-;2;-;-;-;-;1;-;-;-;1;1;-;-;-;32
.. Agressões;-;-;1;-;-;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
.. Eventos (fatos) cuja intenção é indeterminada;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
2. Causas mal definidas;36;26;23;17;25;16;9;15;13;8;8;5;7;6;6;1;7;6;2;6;9;2;1;1;1;4;1;1;5;2;269
.. Sintomas, sinais e achados anormais;3;3;-;-;4;-;-;-;-;1;-;3;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;18
.. Afecções orig período perinatal não especific;33;23;23;17;21;16;9;15;13;7;8;2;6;5;6;1;7;5;2;6;9;2;1;-;1;4;1;1;5;2;251
3. Demais causas (não claramente evitáveis);160;151;130;148;127;148;137;156;190;122;110;115;118;93;114;117;107;112;113;104;117;110;85;92;86;86;74;69;71;62;3424
Total;1085;1026;867;873;805;722;703;675;652;534;562;497;504;554;537;493;514;538;492;518;519;449;452;432;412;391;360;346;322;333;17167
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
