Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
148 PACIENCIA;7;6;9;5;3;4;4;2;4;5;5;6;4;5;6;9;2;3;2;3;94
149 SANTA CRUZ;7;8;17;10;8;9;13;16;10;12;16;10;12;13;13;14;14;5;6;12;225
150 SEPETIBA;4;2;1;0;4;1;1;5;1;3;3;2;3;2;5;1;6;2;2;2;50
151 GUARATIBA;1;4;2;4;0;3;7;5;4;2;1;6;3;4;7;3;4;7;6;3;76
152 BARRA DE GUARATIBA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2
153 PEDRA DE GUARATIBA;2;3;0;1;0;2;1;0;3;1;1;2;0;1;1;0;1;1;1;0;21
154 ROCINHA;6;2;6;5;2;4;0;5;5;1;6;4;2;1;1;4;0;3;1;1;59
155 JACAREZINHO;0;0;1;2;1;0;2;1;0;2;2;3;1;1;0;0;1;1;1;1;20
156 COMPLEXO DO ALEMAO;0;0;2;2;0;1;2;2;2;0;0;4;1;1;0;0;2;1;2;1;23
157 COMPLEXO DA MARE;1;1;4;0;4;3;3;7;7;6;3;0;3;3;7;4;5;6;4;5;76
158 PARQUE COLUMBIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
159 VASCO DA GAMA;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;4
161 LAPA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
162 VILA KENNEDY;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;1;1;6
165 BARRA OLIMPICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
998 ILHA DO GOVERNADOR - IGNORADO;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
999 IGNORADO BAIRRO-MRJ;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;5
EM BRANCO;78;53;80;71;67;65;89;64;70;68;48;49;59;51;48;55;27;35;29;21;1127
Total;250;228;292;256;237;230;287;263;254;270;219;232;251;233;250;231;166;203;177;170;4699
