Bairro Residencia,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
117 GARDENIA AZUL,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5
118 CIDADE DE DEUS,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4
119 CURICICA,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,8
120 FREGUESIA-JPA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
122 TAQUARA,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,5
123 TANQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
124 PRACA SECA,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,7
125 VILA VALQUEIRE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
127 ITANHANGA,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
128 BARRA DA TIJUCA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
130 VARGEM PEQUENA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
132 RECREIO BANDEIRANTES,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
135 VILA MILITAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
138 MAGALHAES BASTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
139 REALENGO,2,1,1,2,1,1,0,0,1,0,1,0,0,1,0,0,0,2,0,1,14
140 PADRE MIGUEL,2,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,7
141 BANGU,2,2,3,4,1,1,2,0,1,2,2,2,0,1,2,1,1,1,0,1,29
142 SENADOR CAMARA,0,0,2,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,11
143 SANTISSIMO,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4
144 CAMPO GRANDE,3,4,3,5,2,1,1,1,3,2,0,0,0,1,1,2,0,0,0,0,29
145 SENADOR VASCONCELOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
146 INHOAIBA,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4
147 COSMOS,0,1,1,0,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,8
148 PACIENCIA,1,0,2,0,1,1,0,1,1,2,2,1,1,0,0,0,2,1,0,0,16
149 SANTA CRUZ,1,4,1,3,2,3,0,1,4,2,1,0,0,1,3,0,0,1,0,1,28
150 SEPETIBA,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,1,1,9
151 GUARATIBA,1,0,0,1,0,0,0,1,2,0,0,1,0,1,1,1,0,0,0,1,10
152 BARRA DE GUARATIBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
153 PEDRA DE GUARATIBA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
154 ROCINHA,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,2,0,0,0,2,9
155 JACAREZINHO,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
156 COMPLEXO DO ALEMAO,0,0,0,0,1,0,0,0,1,1,0,1,2,0,0,0,1,0,0,0,7
157 COMPLEXO DA MARE,1,1,2,2,2,0,0,2,2,2,0,1,2,2,0,2,1,0,0,0,22
158 PARQUE COLUMBIA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
159 VASCO DA GAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
998 ILHA DO GOVERNADOR - IGNORADO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
999 IGNORADO BAIRRO-MRJ,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
EM BRANCO,22,16,11,13,7,3,6,8,5,1,1,2,3,3,5,4,1,5,0,1,117
Total,78,69,57,71,33,19,24,37,40,21,23,24,18,32,32,35,15,20,4,15,667
