Causas evitáveis;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
.. Feto e recém-nasc afet afecções cordão umbilic;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;7
.. Feto recém-nasc afet outr complicações parto;-;-;-;-;1;-;-;-;-;-;-;-;3;2;-;-;1;2;1;-;1;1;1;-;1;-;-;1;-;1;16
.. Traumatismo de parto;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
.. Hipóxia intrauterina e asfixia ao nascer;2;3;4;1;11;9;5;5;3;7;2;5;9;5;1;4;4;3;3;4;5;1;3;2;3;9;1;1;1;2;118
.. Síndr aspiração neonat excet leite alim regurg;-;1;-;-;-;1;1;2;-;3;-;3;-;2;-;-;1;-;-;1;2;1;1;1;2;1;2;-;-;4;29
1.2.3 Reduzíveis adequada atenção ao recém-nascido;16;33;15;9;18;28;10;19;14;15;17;17;26;19;15;19;21;9;18;14;18;21;17;16;14;18;12;4;8;11;491
.. Transt respir cardiovasc específ períod neonat;6;15;6;4;2;11;6;4;4;3;5;4;10;8;9;9;9;3;10;5;12;13;7;7;4;5;4;3;7;5;200
.. Infecç per neonatal exc SRC e hepat viral cong;9;18;9;5;11;14;4;14;9;10;11;9;15;9;4;6;8;5;7;8;6;5;10;9;7;12;7;1;1;2;245
.. Hemorragia neonatal exc intracraniana ñ traumát;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
.. Outras icterícias neonatais;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
.. Transt endócr metab transit esp feto recém-nasc;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;1;7
.. Outr transt hemotológicos feto e recém-nascido;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;6
.. Transt ap digest feto recém-nasc exc enter necr;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;1;-;-;-;-;4
.. Afecç compromet tegument regul térmica feto rn;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;4
.. Outr transt orig período perinatal, exc P96.9;-;-;-;-;2;2;-;-;-;2;-;3;1;2;2;1;-;-;-;-;-;-;-;-;2;-;1;-;-;2;20
1.3. Reduz ações diagnóstico e tratamento adequado;283;253;199;208;151;135;121;126;113;101;102;121;96;114;79;103;93;101;70;82;89;67;80;71;38;46;59;75;60;43;3279
.. Tuberculose respirat c/confirm bacter e histol;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
.. Tuberculose vias respirat s/conf bacter histol;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;6
.. Tuberculose de outros órgãos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
.. Meningite (exceto por Haemophilus);28;25;22;13;9;16;9;5;7;3;5;12;9;7;7;6;3;1;5;1;3;2;4;3;1;1;3;2;1;1;214
.. Infecções agudas das vias aéreas superiores;3;-;-;1;-;1;-;-;-;2;2;-;-;1;-;1;1;-;-;-;-;-;-;-;1;-;-;-;1;-;14
.. Pneumonia;119;108;71;77;56;50;44;47;37;47;43;48;36;50;30;40;38;44;29;38;38;21;24;22;10;19;17;25;16;12;1256
.. Outras infecções agudas vias aéreas inferiores;24;21;18;9;7;9;10;18;7;12;21;15;10;17;17;26;23;18;11;24;22;22;35;26;12;13;26;30;24;28;555
.. Algumas doenças crônicas vias aéreas inferiores;3;5;1;8;4;2;1;2;2;1;3;2;1;2;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;40
.. Algumas doenças pulmonares dev agentes externos;1;2;-;1;1;-;4;1;1;1;1;4;8;5;-;5;5;1;-;1;2;-;-;-;1;2;2;1;-;-;50
.. Anemias nutricionais;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;3
.. Outras doenças bacterianas;99;73;78;84;63;54;44;48;51;32;23;30;19;22;16;17;16;23;21;9;17;13;7;11;5;8;5;10;12;2;912
.. Hipotireoidismo congênito;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
.. Diabetes mellitus;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;1;1;2;-;-;1;-;-;9
.. Depleção de volume;-;3;3;-;1;-;-;-;-;-;1;3;-;1;3;2;-;-;-;-;1;2;2;2;-;1;-;-;1;-;26
.. Epilepsia e estado de mal epiléptico;-;1;1;2;-;1;2;-;1;-;-;-;-;2;1;-;1;2;-;-;1;-;-;1;1;-;1;1;1;-;20
.. Síndrome de Down;4;9;5;10;7;2;6;4;5;3;3;5;11;6;3;5;4;6;3;7;4;5;5;4;1;2;4;2;2;-;137
.. Infecção do trato urinário localiz não especif;2;4;-;2;2;-;1;1;2;-;-;1;1;-;-;1;1;2;1;2;-;1;-;1;2;-;1;3;2;-;33
1.4. Reduz. ações promoção vinc. ações de atenção;129;76;81;68;74;63;52;55;58;49;56;50;68;66;63;66;70;58;59;69;66;53;53;50;51;61;55;44;54;56;1873
.. Doenças infecciosas intestinais;70;35;34;25;22;21;14;20;19;15;20;11;14;12;7;4;4;5;8;8;7;1;8;6;5;3;4;3;5;4;414
.. Febres por arbovírus e febres hemorrágic virais;-;-;-;-;-;-;-;-;-;-;-;1;9;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;14
.. Doenças devidas a protozoários;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
.. Doenças infecciosas, outras e não especificadas;-;1;-;-;-;-;1;-;-;-;-;1;1;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;7
.. Desnutrição e outras deficiências nutricionais;16;6;9;12;15;11;5;7;8;7;4;5;7;2;3;3;5;2;2;2;-;4;3;1;2;2;1;1;1;-;146
.. Acidentes de transporte;-;4;3;2;-;2;1;-;3;-;1;-;1;6;1;2;2;1;1;4;2;1;2;-;1;1;3;-;1;1;46
.. Síndrome da morte súbita na infância;-;-;-;-;2;-;-;-;-;2;-;-;1;-;-;-;-;1;2;1;-;2;-;-;1;-;1;-;1;-;14
.. Quedas;1;-;1;-;-;1;1;2;1;-;1;-;-;1;1;1;2;2;4;-;1;5;1;1;3;-;-;2;2;-;34
.. Exposição ao fumo, ao fogo e às chamas;-;-;-;-;-;1;2;2;1;-;-;-;-;1;-;1;3;-;1;-;-;-;1;-;1;1;-;-;-;1;16
.. Exposição às forças da natureza;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
.. Afogamento e submersão acidentais;2;2;-;1;-;1;1;-;-;-;1;2;-;1;1;-;1;-;-;-;-;-;1;1;1;-;1;-;-;-;17
.. Outros riscos acidentais à respiração;29;20;22;22;27;20;24;19;19;18;25;25;30;30;46;41;47;43;37;50;51;36;36;38;33;49;43;35;42;43;1000
.. Expos corr elétr radiação temperat press extrem;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
.. Agressões;4;-;2;-;1;1;1;1;1;1;2;2;1;3;-;6;2;1;3;2;4;3;-;1;3;-;1;3;1;3;53
.. Eventos (fatos) cuja intenção é indeterminada;5;8;9;6;6;5;2;4;5;5;1;2;2;6;3;3;4;2;1;1;-;-;-;1;1;1;-;-;1;4;88
.. Exposição a forças mecânicas inanimadas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;2;-;-;-;-;5
.. Acid ocorr durante prest cuid médicos cirúrgic;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
...Reação anorm pac ou compl tardia proced médic;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;-;-;-;-;1;-;-;1;1;-;-;-;7
.. Efeit adv drog medic e subst biológ terapêutic;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
2. Causas mal definidas;108;93;116;107;108;63;77;80;87;63;50;38;29;29;42;44;31;30;28;25;21;23;22;23;16;20;13;7;8;13;1414
.. Sintomas, sinais e achados anormais;108;91;116;104;107;63;77;80;86;62;47;37;29;29;41;44;31;30;28;25;21;23;22;23;16;20;13;7;8;13;1401
.. Afecções orig período perinatal não especific;-;2;-;3;1;-;-;-;1;1;3;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
3. Demais causas (não claramente evitáveis);159;174;163;184;152;130;141;146;149;125;136;144;145;153;146;153;153;137;135;144;144;130;131;128;115;94;119;125;105;102;4162
Total;728;676;606;608;546;448;423;453;448;385;387;403;412;428;388;421;405;378;346;378;377;316;324;319;270;271;275;265;250;249;12183
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
