Bairro Residencia;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
098 FREGUESIA-ILHA;74;105;108;112;97;142;128;133;88;85;128;71;78;72;90;1511
099 JARDIM GUANABARA;32;55;45;59;43;37;36;38;50;34;36;30;36;32;40;603
100 JARDIM CARIOCA;88;160;178;195;177;138;143;117;111;117;111;89;96;73;96;1889
101 TAUA;62;142;153;186;199;118;173;101;119;111;108;95;117;110;113;1907
102 MONERO;9;13;16;8;13;12;6;6;8;7;5;3;4;10;9;129
103 PORTUGUESA;40;90;87;106;110;76;63;51;77;73;62;62;65;53;58;1073
104 GALEAO;73;203;202;209;229;183;189;150;185;174;169;174;153;154;133;2580
105 CIDADE UNIVERSITARIA;10;13;7;12;13;13;10;18;15;4;9;5;5;4;8;146
106 GUADALUPE;191;379;410;400;357;297;305;335;282;280;286;252;217;192;187;4370
107 ANCHIETA;327;580;655;669;631;518;452;472;493;455;392;398;319;294;318;6973
108 PARQUE ANCHIETA;50;116;110;114;141;87;112;97;85;98;93;59;74;78;63;1377
109 RICARDO ALBUQUERQUE;101;180;219;208;225;171;179;189;162;166;175;142;134;123;152;2526
110 COELHO NETO;124;210;204;246;259;224;188;226;208;152;170;155;176;123;145;2810
111 ACARI;157;299;309;305;368;331;374;356;264;241;230;246;244;237;208;4169
112 BARROS FILHO;69;99;100;156;168;153;180;169;141;135;126;115;109;100;94;1914
113 COSTA BARROS;243;448;470;437;459;413;387;430;337;373;322;297;226;193;213;5248
114 PAVUNA;316;655;659;692;723;618;755;638;576;549;522;450;528;461;475;8617
115 JACAREPAGUA;624;1045;1090;1600;1731;1464;1413;1270;980;1081;1152;816;1199;1132;1077;17674
116 ANIL;116;185;224;268;255;226;227;228;198;243;183;184;150;146;201;3034
117 GARDENIA AZUL;222;320;415;568;598;455;430;411;362;379;296;335;248;208;264;5511
118 CIDADE DE DEUS;324;424;541;758;782;666;619;536;477;507;395;304;288;305;353;7279
119 CURICICA;244;427;529;593;602;552;565;517;545;426;360;360;231;198;206;6355
120 FREGUESIA-JPA;183;189;270;372;330;268;254;255;277;246;202;183;172;209;209;3619
121 PECHINCHA;86;120;150;185;202;158;167;169;157;154;125;144;133;107;118;2175
122 TAQUARA;423;674;829;913;911;826;797;783;791;737;630;544;479;394;474;10205
123 TANQUE;161;273;319;365;348;337;324;327;267;278;263;210;196;223;220;4111
124 PRACA SECA;230;365;371;411;503;426;470;414;352;331;370;270;282;254;281;5330
125 VILA VALQUEIRE;95;150;155;181;154;139;171;159;112;116;93;102;100;105;102;1934
126 JOA;0;2;2;0;4;3;1;2;2;1;0;1;0;3;0;21
127 ITANHANGA;143;237;284;369;434;352;524;447;402;358;396;392;454;388;470;5650
128 BARRA DA TIJUCA;118;167;219;264;255;172;206;195;209;147;119;152;165;158;166;2712
129 CAMORIM;23;21;18;24;36;35;38;31;60;28;26;47;30;9;21;447
130 VARGEM PEQUENA;114;153;158;226;270;256;252;231;224;237;183;166;188;176;153;2987
131 VARGEM GRANDE;102;135;172;201;216;209;206;184;172;173;146;136;135;138;137;2462
132 RECREIO BANDEIRANTES;242;338;432;544;560;474;481;476;513;470;448;405;413;371;435;6602
133 GRUMARI;1;1;2;0;0;0;1;2;1;3;3;2;1;0;0;17
134 DEODORO;55;105;121;106;116;120;83;78;73;73;66;82;65;45;53;1241
135 VILA MILITAR;5;11;15;30;60;47;50;83;45;67;55;33;55;57;45;658
136 CAMPO DOS AFONSOS;1;5;3;2;8;10;10;16;4;7;4;6;12;7;13;108
137 JARDIM SULACAP;33;65;111;104;126;92;80;93;85;76;52;69;63;38;46;1133
138 MAGALHAES BASTOS;129;218;184;191;199;166;148;188;159;129;118;122;114;98;103;2266
139 REALENGO;750;1385;1404;1599;1611;1481;1255;1250;1099;1050;998;865;843;716;750;17056
140 PADRE MIGUEL;341;611;634;679;624;596;451;473;405;306;326;268;291;254;293;6552
141 BANGU;1221;2105;2415;2586;2628;2274;2124;1740;1578;1513;1458;1292;1127;963;969;25993
142 SENADOR CAMARA;491;894;859;909;1064;995;962;885;740;822;712;609;619;519;529;11609
143 SANTISSIMO;297;481;468;573;575;430;524;453;419;437;397;273;277;244;255;6103
144 CAMPO GRANDE;1644;2705;2744;3047;3003;2851;3130;2769;2755;2399;2136;1898;1798;1692;1639;36210
145 SENADOR VASCONCELOS;125;186;176;216;261;214;261;239;174;209;202;164;137;137;161;2862
146 INHOAIBA;313;494;540;632;642;641;745;701;615;535;525;489;421;390;403;8086
147 COSMOS;365;605;665;767;808;764;865;737;676;723;634;567;576;540;510;9802
148 PACIENCIA;528;876;818;917;1007;915;910;951;822;814;795;701;641;575;618;11888
149 SANTA CRUZ;1260;2235;2154;2309;2571;2179;2273;2305;2177;1950;1928;1773;1673;1551;1704;30042
150 SEPETIBA;272;486;546;475;538;500;442;490;476;481;440;404;435;383;397;6765
151 GUARATIBA;530;786;1041;1395;1450;1270;1527;1358;1188;1144;1157;1037;1056;1073;1013;17025
152 BARRA DE GUARATIBA;26;36;45;53;51;40;49;37;28;50;43;54;52;31;64;659
153 PEDRA DE GUARATIBA;235;333;398;344;300;364;282;373;391;305;270;275;133;107;135;4245
154 ROCINHA;418;592;561;589;513;535;549;509;387;321;300;322;354;393;409;6752
