Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
087 HONORIO GURGEL;3;2;1;5;3;1;1;0;2;0;1;2;1;4;1;1;4;2;0;4;38
088 OSWALDO CRUZ;1;0;3;2;3;1;0;4;0;1;0;1;1;3;0;1;1;3;2;1;28
089 BENTO RIBEIRO;3;3;3;2;1;3;3;4;5;4;3;3;2;2;0;3;2;2;0;2;50
090 MARECHAL HERMES;0;0;3;1;2;1;4;1;3;4;3;7;4;7;2;4;2;1;0;1;50
091 RIBEIRA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;3
092 ZUMBI;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
093 CACUIA;1;1;0;3;0;1;0;2;1;1;0;0;4;4;0;1;0;1;1;0;21
094 PITANGUEIRAS;0;3;0;1;1;0;0;0;1;0;0;0;1;1;0;0;2;1;0;0;11
095 PRAIA DA BANDEIRA;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;5
096 COCOTA;0;2;0;1;0;0;1;0;1;1;0;0;0;2;0;0;0;0;0;0;8
097 BANCARIOS;0;2;2;0;1;1;0;1;1;1;1;2;0;0;2;1;1;2;0;0;18
098 FREGUESIA-ILHA;0;1;1;2;0;0;5;1;1;0;1;0;0;0;0;3;2;0;1;1;19
099 JARDIM GUANABARA;2;1;4;0;1;3;1;0;2;1;0;2;3;1;1;2;1;0;1;0;26
100 JARDIM CARIOCA;2;1;1;0;1;1;3;1;1;0;8;3;1;1;1;2;2;0;1;1;31
101 TAUA;1;0;2;3;1;4;5;3;2;2;4;1;1;1;2;0;5;1;2;1;41
102 MONERO;0;1;1;2;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;7
103 PORTUGUESA;2;1;2;0;0;0;1;4;1;3;0;2;1;0;0;0;0;1;0;0;18
104 GALEAO;1;0;2;6;4;1;0;3;5;0;5;0;2;4;2;1;1;4;2;0;43
105 CIDADE UNIVERSITARIA;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;4
106 GUADALUPE;3;3;6;5;2;1;3;4;3;1;0;0;2;3;1;3;1;2;1;2;46
107 ANCHIETA;1;6;5;6;7;10;11;4;8;3;3;4;3;6;2;7;3;1;3;0;93
108 PARQUE ANCHIETA;1;0;0;1;1;1;0;0;0;4;0;0;1;0;2;2;1;0;2;1;17
109 RICARDO ALBUQUERQUE;0;2;1;1;3;3;2;2;4;1;3;0;3;2;1;2;0;1;2;1;34
110 COELHO NETO;2;0;1;1;3;2;2;2;5;4;1;2;2;3;1;0;2;0;0;0;33
111 ACARI;2;0;2;0;3;1;4;2;1;5;4;3;1;2;1;1;1;1;2;2;38
112 BARROS FILHO;2;0;1;1;0;0;0;1;0;3;0;0;0;0;0;1;2;0;0;2;13
113 COSTA BARROS;1;7;4;2;3;2;6;5;2;2;2;4;1;0;0;1;2;3;1;2;50
114 PAVUNA;5;3;5;6;9;8;6;6;3;7;4;3;5;5;2;2;5;7;2;4;97
115 JACAREPAGUA;17;20;15;16;11;12;20;19;13;14;20;17;17;11;12;10;11;9;15;13;292
116 ANIL;5;4;2;4;2;2;5;3;0;3;1;2;4;2;0;5;0;0;1;3;48
117 GARDENIA AZUL;1;1;5;2;4;5;5;3;2;2;1;1;1;3;0;1;1;1;3;1;43
