Bairro Residencia,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
118 CIDADE DE DEUS,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,2,1,0,1,1,13
119 CURICICA,2,0,0,1,1,0,2,2,0,1,0,0,0,0,1,2,1,0,0,0,13
120 FREGUESIA-JPA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4
121 PECHINCHA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
122 TAQUARA,0,0,1,0,0,1,1,1,1,0,0,2,0,2,0,0,0,0,0,0,9
123 TANQUE,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
124 PRACA SECA,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,2,2,1,1,0,11
125 VILA VALQUEIRE,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4
127 ITANHANGA,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,1,0,0,1,1,9
128 BARRA DA TIJUCA,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
130 VARGEM PEQUENA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
131 VARGEM GRANDE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,4
132 RECREIO BANDEIRANTES,0,1,1,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,8
134 DEODORO,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
135 VILA MILITAR,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,4
138 MAGALHAES BASTOS,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,6
139 REALENGO,2,1,0,2,1,2,3,1,1,1,3,2,1,3,2,2,0,1,1,1,30
140 PADRE MIGUEL,0,0,1,1,0,0,2,0,1,2,0,0,1,0,1,0,2,0,0,0,11
141 BANGU,1,2,1,2,1,4,3,2,3,3,4,2,2,1,6,4,1,0,1,2,45
142 SENADOR CAMARA,0,3,0,0,0,1,1,0,2,1,0,2,2,0,0,2,3,1,0,3,21
143 SANTISSIMO,0,0,0,1,1,0,2,2,2,0,0,0,0,1,0,1,0,0,0,0,10
144 CAMPO GRANDE,2,2,3,2,4,0,3,1,2,5,3,2,1,5,2,6,5,2,2,0,52
145 SENADOR VASCONCELOS,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,5
146 INHOAIBA,1,0,0,0,1,0,0,1,0,2,1,1,0,0,3,1,0,0,0,0,11
147 COSMOS,2,0,0,0,0,1,1,0,0,2,1,2,1,0,1,2,1,0,0,1,15
148 PACIENCIA,1,1,0,0,0,1,2,1,3,2,1,4,1,1,2,3,1,1,1,0,26
149 SANTA CRUZ,3,4,2,7,4,3,2,2,3,4,3,5,6,1,5,6,1,5,0,1,67
150 SEPETIBA,1,1,2,0,2,2,0,0,1,0,1,1,2,0,1,2,0,1,0,0,17
151 GUARATIBA,1,1,1,0,1,0,0,1,0,1,1,3,1,1,1,2,1,2,1,2,21
152 BARRA DE GUARATIBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
153 PEDRA DE GUARATIBA,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5
154 ROCINHA,2,1,0,0,1,0,1,2,2,0,1,1,2,1,0,0,1,3,0,0,18
155 JACAREZINHO,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,7
156 COMPLEXO DO ALEMAO,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,7
157 COMPLEXO DA MARE,0,0,0,1,0,0,0,1,3,1,2,0,0,2,3,2,1,0,0,1,17
159 VASCO DA GAMA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
161 LAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3
162 VILA KENNEDY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
999 IGNORADO BAIRRO-MRJ,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
EM BRANCO,19,17,14,8,7,6,7,13,11,13,9,10,12,7,11,30,4,4,8,4,214
Total,67,72,51,65,64,56,57,59,56,66,59,67,56,54,74,109,42,40,33,35,1182
