Bairro Residencia;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
142 SENADOR CAMARA;3;0;0;3;0;2;0;1;0;1;1;0;1;0;0;12
143 SANTISSIMO;0;0;0;0;1;0;0;0;0;2;0;1;1;0;2;7
144 CAMPO GRANDE;1;0;2;1;0;4;1;5;3;3;1;7;4;6;3;41
145 SENADOR VASCONCELOS;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2
146 INHOAIBA;0;0;0;3;2;0;0;1;1;0;2;0;0;1;0;10
147 COSMOS;1;0;1;1;1;1;0;3;0;0;1;0;0;2;0;11
148 PACIENCIA;1;2;4;0;0;1;0;2;0;1;0;0;0;2;0;13
149 SANTA CRUZ;4;6;2;2;2;2;4;1;4;4;2;5;3;3;0;44
150 SEPETIBA;0;0;1;1;0;1;0;0;0;2;2;0;0;0;0;7
151 GUARATIBA;0;0;0;0;0;1;1;1;1;0;1;0;1;3;2;11
152 BARRA DE GUARATIBA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
153 PEDRA DE GUARATIBA;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;5
154 ROCINHA;0;0;1;2;0;1;1;0;2;1;2;3;1;1;2;17
155 JACAREZINHO;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;3
156 COMPLEXO DO ALEMAO;0;0;1;0;1;0;0;0;0;1;0;0;0;2;0;5
157 COMPLEXO DA MARE;0;2;0;0;2;0;0;1;1;1;2;3;2;7;4;25
158 PARQUE COLUMBIA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
162 VILA KENNEDY;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
165 BARRA OLIMPICA;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
998 ILHA DO GOVERNADOR - IGNORADO;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;5
999 IGNORADO BAIRRO-MRJ;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;3
EM BRANCO;0;0;0;0;0;0;0;0;0;0;0;11;6;9;12;38
Total;36;49;53;53;44;49;43;55;55;73;62;83;78;91;81;905
